danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.71,0.973,-7.298,0.101,0.647,0.928,0.134,0.301,125.027,1cTHUMdInmZvxVCHnzHOj2,256350
0.468,0.829,-6.742,0.0625,0.00339,2.21e-05,0.285,0.441,127.989,4I8Bk2MvKpZSaNkCJD2U5k,150015
0.893,0.978,-4.054,0.174,0.0983,0.0343,0.158,0.634,125.988,4BbgaqfPNjhW2gy6dSpsKG,130124
0.647,0.925,-5.724,0.255,0.0178,0.176,0.0749,0.203,125.971,1RzpRGOArORD0iwIVLwJQo,217143
0.771,0.98,-4.414,0.0598,0.00575,0.661,0.102,0.0816,128.008,6tj1oCWq8QkShD7Vuy32jA,157617
0.767,0.616,-6.069,0.325,0.0255,0.000435,0.145,0.518,126.047,3InAbQ6GdxU5stWC0elsKm,154762
0.725,0.899,-6.394,0.0532,0.0454,0.00882,0.0893,0.592,128.001,5o7sq4VsnRVZtfMHZsuz6Q,124746
0.785,0.91,-4.72,0.135,0.0453,0.00143,0.369,0.893,128.108,5AbJc4S4TOtSKQL6NLzBIm,169687
0.853,0.591,-9.104,0.187,0.149,0.0352,0.144,0.49,127.977,1SYW0BMtnQhrgH2i8R1OLJ,153750
0.718,0.913,-5.532,0.0351,0.00688,0.241,0.0478,0.312,125.951,3UwlHoQ1pEHHds28BJ2bvb,142447
0.726,0.448,-8.929,0.118,0.0749,0.705,0.0974,0.128,124.95,44UxWRfHk1fnB9IaaTwesy,142790
0.437,0.904,-4.356,0.0454,0.00364,0.0359,0.0577,0.123,173.938,4xWzZiZk6NWAO62h5sMm0N,188608
0.503,0.906,-3.95,0.0884,0.00451,0.415,0.171,0.364,135.206,43Y71sYfC2zIXdi6ghgOeH,104889
0.804,0.717,-8.606,0.0794,0.0275,0.41,0.0891,0.626,130.015,5rZicx0JZLZR233YKcA4ok,173538
0.663,0.955,-3.333,0.0751,0.000366,0.0456,0.148,0.197,127.025,02ZNIX2SvuQCWbs1Vajnzk,155906
0.777,0.824,-5.549,0.0692,0.0931,0.000186,0.145,0.271,129.956,0ZrJ5soMgpRi6YcU9U1iCK,138662
0.828,0.802,-6.025,0.212,0.0631,0.635,0.278,0.739,124.08,1d8K4YrRelAi7AuZfxP4Uy,125585
0.818,0.648,-8.399,0.066,0.0454,0.887,0.536,0.0717,108.978,1lu9DGjufsxS6m7CnuL1An,132924
0.771,0.672,-8.832,0.0437,0.0256,0.609,0.104,0.698,132.017,68UEqkHwlYPwI7oU4PQ1j8,265795
0.672,0.907,-6.76,0.0558,0.00689,0.752,0.153,0.122,126.009,012AEpKl546uQEdI8aUNCP,188095
0.462,0.982,-2.615,0.0657,0.00424,0.704,0.34,0.0703,150.081,4ywSs3wQa6U85OYS6qzX9A,185600
0.561,0.797,-5.919,0.162,0.301,0.000309,0.116,0.392,150.095,3R8ae3SyEdVm4uEq9gnJwd,133759
0.692,0.956,-3.809,0.0367,0.00658,0.316,0.0922,0.196,124.997,0lCoghKzK272EvXPwo1aNV,218900
0.679,0.702,-5.365,0.0339,0.189,0.0,0.0714,0.309,100.003,0w78MPLqL4TAJ8sWjFbrcc,188538
0.681,0.803,-4.03,0.0746,0.117,0.000348,0.0831,0.598,149.746,4fL5CfiMJwMP8rqaIPmB0R,125834
