danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.612,0.493,-8.589,0.0467,0.804,0.266,0.202,0.484,126.358,4Vkk3iD1VrENHJEACNddvt,570720
0.506,0.493,-7.759,0.0427,0.798,0.00355,0.307,0.584,134.77,6ZgaUtMlUzUf7SqbUUnfbu,644013
0.535,0.258,-9.499,0.033,0.768,8.95e-05,0.115,0.281,110.953,0X5DcGkbxCXSadgj01ZXd7,659520
0.284,0.0811,-19.99,0.0351,0.937,0.105,0.0857,0.366,83.836,47zglRNpxJfxadAe3C6xQe,243253
0.644,0.157,-16.323,0.0407,0.991,0.92,0.101,0.448,82.251,4PN5gbJNYWx9yQ6hJepPbG,252267
0.542,0.32,-9.975,0.0387,0.907,0.649,0.0609,0.206,116.648,1wl5b2lw3YagQtZiYZbQWP,193840
0.5,0.251,-12.981,0.0474,0.885,0.00165,0.248,0.697,174.935,1ewQUavRnFAEwPqqwKQ0nF,186067
0.581,0.396,-16.236,0.0361,0.99,0.911,0.194,0.934,94.416,2jZXAZ07wtsPETniGqkqBp,218507
0.516,0.353,-11.48,0.0343,0.926,0.799,0.109,0.697,148.264,1xobOM810o8ZwPrhYnN3OY,421627
0.429,0.7,-9.117,0.0457,0.858,0.0434,0.194,0.759,85.853,5SocjOFFwNyWGLwAzPfLFh,286387
0.403,0.392,-10.238,0.0413,0.828,0.00706,0.116,0.657,170.956,48maZW59yoavD1b4gbSGro,410773
0.501,0.549,-8.263,0.0541,0.709,0.000213,0.144,0.773,169.544,6WWkfAJdWLvJcUs9wq33Ou,291107
0.573,0.247,-19.282,0.0627,0.713,5.64e-05,0.103,0.604,138.234,3iFlfQ0CXc9URaAvai8VUe,400447
0.462,0.62,-6.793,0.0826,0.631,0.00363,0.207,0.617,153.573,0D0kne59Io4kC0FKPMJtkO,416120
0.5,0.122,-15.333,0.0412,0.975,0.0627,0.14,0.384,66.824,6u4eFc9qtTqJ7iArcJOlVz,370360
0.599,0.444,-8.648,0.044,0.82,0.000474,0.122,0.508,142.81,10kVwPSRjUYja0EtdqmXHe,369387
0.69,0.427,-11.73,0.035,0.896,0.384,0.11,0.532,141.063,5SwlamKyZwNdIhuSTxVwsG,522240
0.598,0.759,-6.611,0.0518,0.419,0.0,0.0739,0.704,103.82,7ueu8ToQEZOzjz0QE3iqhJ,387560
0.538,0.155,-14.47,0.037,0.979,0.864,0.081,0.206,93.447,5XjjmKaKGBgPuwOgm1Ux1j,362280
0.623,0.4,-11.231,0.0334,0.792,0.00129,0.197,0.338,128.596,2687Dgajyh03l62gkUox0l,378693
0.624,0.358,-9.243,0.0396,0.807,0.389,0.106,0.506,123.665,3E7QzgM8Je4hyf0kK8tGmD,259040
0.718,0.523,-6.638,0.0427,0.802,0.0944,0.14,0.576,126.534,0fYXEHGIJqfimplx8Y4683,527040
0.473,0.67,-7.756,0.0353,0.446,3.15e-06,0.0957,0.808,152.484,1dZHIbmuBDAwXfQOM4dyM3,625293
0.651,0.252,-16.168,0.0588,0.804,0.0287,0.0943,0.428,121.263,7dMWiyYYkxNC0mz90Ni9L3,403200
0.653,0.131,-20.571,0.0498,0.926,0.83,0.112,0.774,74.022,5u37dzOTaofExiyOlYir65,190800
0.652,0.356,-13.733,0.0419,0.546,0.000103,0.132,0.56,148.822,2kF9Ijd7I2Kk2P4bYqUmzG,242347
0.483,0.45,-9.47,0.0383,0.482,0.0,0.28,0.664,149.605,2J8zEC95MQuuQSSzdVXJg5,376333
0.651,0.581,-10.29,0.028,0.821,9.04e-05,0.155,0.844,133.988,7wzPJFQRgx0bsl8QYtIfWR,499253
0.714,0.367,-12.855,0.0328,0.828,0.399,0.112,0.633,107.328,0bv5vUJCvXM9G0cbjeikyY,483093
0.742,0.671,-8.142,0.0407,0.794,0.00441,0.122,0.591,127.359,1CDBaGlisZlOJzvx88lL8A,438280
0.588,0.211,-18.223,0.0406,0.767,5.27e-05,0.0813,0.433,135.7,6Lr4HpvJVOHDAVHEEbjFgL,283200
0.482,0.624,-7.631,0.0483,0.189,0.0,0.0667,0.576,134.857,2IsqnLcjbH7AM4HsrYYBTX,571587
0.511,0.413,-7.728,0.0409,0.833,0.00203,0.226,0.361,147.602,3Ljy7wv8En9a4dteSEI8Qx,397133
0.26,0.203,-12.231,0.0353,0.99,0.944,0.134,0.064,173.503,0Xfq6BeOHdzf16gk9y8a1P,343280
0.399,0.0762,-20.191,0.0429,0.963,0.474,0.0855,0.11,98.293,7hCoudsPme4nj3F9QeuKqz,487867
0.467,0.459,-9.706,0.0305,0.719,0.00312,0.0944,0.178,124.379,0T1EaGm6b9eM7xBf4F1hlc,477093
0.46,0.633,-7.153,0.0404,0.613,0.0,0.274,0.515,106.331,0qxiaagtTvTeNvzxHHc441,503787
0.5,0.515,-12.348,0.0427,0.591,0.000125,0.187,0.493,80.307,64EpFQnk4OlbMl3fitdrp6,547667
0.561,0.748,-8.175,0.0551,0.598,0.00315,0.216,0.777,121.714,5FsKNbwv7BlR7crawTE3IZ,417720
0.527,0.484,-13.569,0.0397,0.433,0.00975,0.0788,0.813,153.391,2OAGhItJNa421Rdtby3ZuQ,663160
0.515,0.583,-8.182,0.0284,0.749,0.000294,0.123,0.414,116.11,0sCeNwt8xRCMR4NhKpMyBe,333947
0.658,0.521,-12.606,0.0312,0.811,0.0786,0.0746,0.819,129.056,7iPjzOaZiNXp0I8vOCcVZV,543133
0.511,0.524,-10.604,0.0329,0.739,0.00166,0.116,0.644,85.056,0QRcIGOrLvLNhIB9SLXW9F,409627
0.508,0.253,-17.518,0.0487,0.471,0.246,0.121,0.579,95.527,3ASbn4OVbcg1tnSjmdyREe,523760
0.404,0.543,-17.131,0.0813,0.059,0.249,0.183,0.592,87.867,6IgVY53j5gJXOHRHLscYp4,433267
0.465,0.644,-7.646,0.106,0.496,0.179,0.176,0.355,81.896,2VzRmb0GCPDBv6FddHGu7s,504867
0.472,0.478,-9.504,0.044,0.698,1.46e-05,0.13,0.478,140.766,5K6jQyCr2sxKMvcBLI6Zfv,425067
0.598,0.326,-14.061,0.0428,0.845,0.302,0.0834,0.416,137.807,1QVX2tIgB5zS7WrMbWtTqj,365760
0.406,0.746,-7.838,0.0524,0.403,0.0816,0.305,0.59,93.056,4ZAcQgIlpV5z7k7evEF0MJ,441427
0.558,0.629,-9.558,0.029,0.773,0.507,0.12,0.736,137.786,29Npt8NkHyFDIEBNrF3i8A,462800
0.576,0.456,-11.96,0.0362,0.643,0.000276,0.206,0.569,139.529,3Y7Vb8M6MCevaPzaf6Tq7K,468560
0.739,0.479,-17.655,0.0478,0.465,0.0445,0.0633,0.785,128.067,2Wq889rsIlEG0l2ea9pE9J,417000
0.743,0.645,-9.322,0.0443,0.52,0.298,0.0947,0.715,77.093,3rsYlTPHDxG1Ht1t5yOz1B,555773
0.728,0.805,-10.356,0.0401,0.775,0.873,0.112,0.964,100.534,2YqY5cZyFA4G1F8Ni1PL1Q,342493
0.683,0.826,-10.485,0.0381,0.108,0.322,0.125,0.588,132.298,6GWJgCXsyOlDJvDDfQgNWG,675120
0.446,0.731,-9.752,0.0439,0.081,0.426,0.177,0.283,123.188,5H9ndwyE50LFwZFuZnVe2o,396040
0.6,0.34,-15.907,0.0285,0.719,0.864,0.141,0.57,114.319,40XIh4aEp1Ts5F4XEQM2lj,254267
0.343,0.299,-17.572,0.0584,0.921,0.218,0.0944,0.322,70.117,5emxS2ghZWuPnRFOe10vdq,369560
