danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.407,0.854,-4.229,0.0625,0.02,6.9e-05,0.137,0.335,80.074,022gtO2qA9EwjWrXu7OiVt,223520
0.581,0.585,-1.87,0.369,0.27,6.48e-05,0.179,0.63,67.443,18A7ha5BitZjmdHTCwXFbU,209829
0.516,0.93,-3.209,0.0562,0.0104,0.000858,0.34,0.752,174.026,3gzZPhXOL166nTTaEwqI4c,189138
0.667,0.803,-4.693,0.0544,0.0166,0.000335,0.103,0.591,80.038,37g9thpV049tXHhHiiZ44T,163875
0.634,0.749,-7.851,0.0587,0.156,0.00388,0.203,0.357,123.958,51I95Yhf3siwoQBpBUY5p6,209659
0.519,0.916,-3.784,0.0621,0.000113,0.00131,0.0945,0.0972,174.029,6pO4iuzfi0PVODLtm0y4dN,253793
0.726,0.645,-6.802,0.055,0.301,0.215,0.109,0.157,100.044,1RuxuAnkAJZ2FPdxvcDDih,196800
0.693,0.334,-13.277,0.0568,0.361,0.794,0.166,0.096,128.046,2r5Vi46hcW5BZxkyFYlpPu,180000
0.335,0.894,-3.616,0.0924,0.00457,1.25e-05,0.226,0.164,175.898,0OCkTNAy4sPrfvszddvt1k,250909
0.538,0.861,-2.241,0.0362,0.00149,0.0108,0.135,0.0447,86.011,0imRyOIkwxkEzdNikpK3UM,159692
0.543,0.743,-7.644,0.0659,0.06,0.0,0.124,0.231,130.139,77ZQty250PUGzm4NZYiO2Q,183230
0.626,0.907,-8.314,0.0372,0.00956,0.228,0.142,0.343,127.987,2sUAvG1FJX14GCr3LAp73P,156562
0.789,0.871,-3.117,0.0604,0.000419,0.5,0.2,0.432,124.974,7C2OMLPtQsbQgcOiyFytzA,126720
0.582,0.975,-2.547,0.0627,0.0102,0.896,0.194,0.788,129.964,7AZsMkUwu9wgz2yA78a9oU,171704
0.67,0.905,-5.021,0.0551,0.00492,0.000103,0.168,0.649,128.012,42UU54WpkAm5aLfGucwY6F,167344
0.463,0.951,-2.901,0.0719,0.00181,0.158,0.213,0.0512,114.457,3wHV275mc0xs0fmJt8ITGX,169818
0.618,0.892,-1.723,0.137,0.00189,0.000811,0.212,0.435,174.029,6ahPq19N2CB1YcHKrs4890,168630
0.626,0.969,-1.281,0.0487,0.00223,0.0535,0.387,0.517,114.996,2ElkJB3Ce9shEo0qKTHsGF,139832
0.803,0.898,-8.882,0.126,0.0515,0.856,0.0396,0.529,127.976,4pgmtdYruqcV7gcT1uky56,132187
0.527,0.887,-3.009,0.0536,0.0211,0.00168,0.149,0.31,173.983,1xsUjMmrGeW18jVbg7xRPP,248276
0.742,0.856,-4.338,0.0606,0.014,0.168,0.12,0.518,150.049,4vmgwpTfj1TsOwCNKnl6Ro,185367
0.544,0.718,-5.111,0.053,0.0957,0.0,0.591,0.399,100.067,2H4QqnZCyGPQ7CuVLmQNwO,160306
0.623,0.801,-5.806,0.0928,0.331,0.0293,0.0761,0.245,175.982,6SrzmgeSOjNoSv1BkTPz6A,169091
0.91,0.462,-7.992,0.297,0.0961,0.0,0.0802,0.798,119.889,1N1KPecsoHnrGMWT8kitc7,153255
0.655,0.632,-7.104,0.0409,0.0687,0.00456,0.071,0.0827,100.007,2sPGbO0TWLwBCL2Q1i1e6H,163200
0.805,0.731,-5.097,0.0658,0.019,0.0243,0.0983,0.388,126.02,2qtyIWqX6LwB5AZwu708wp,173810
