danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.575,0.53,-5.953,0.0446,0.0958,0.000179,0.083,0.402,172.003,3bknyaIwxNamskujz37Gom,167843
0.631,0.803,-4.444,0.0292,0.0881,4.59e-06,0.108,0.427,93.498,2sg8oaHUISzxswco8S5yZU,198405
0.764,0.577,-7.764,0.0361,0.113,0.0118,0.183,0.563,124.002,56IhOJAcMc28qxDqjmuwJC,215867
0.609,0.544,-6.373,0.0285,0.638,0.0,0.163,0.307,139.825,77sReicKWZNkkHt4mvJsRJ,237453
0.819,0.657,-8.01,0.0407,0.326,0.00159,0.0915,0.875,122.01,2XvJurdJip7XdjW1j1EfS8,228437
0.636,0.477,-8.449,0.157,0.334,0.0,0.141,0.039,157.432,0qrTCjRD816Usk3ixgwqWr,232747
0.558,0.226,-9.936,0.0495,0.78,0.0,0.0881,0.366,154.505,1VB6OgXXixIet11kOQfc3P,178077
0.572,0.208,-16.501,0.0551,0.5,0.000115,0.28,0.51,170.051,5bRBvpq9Am8Wvwvk9AggFi,182832
0.786,0.365,-6.458,0.0347,0.317,1.71e-05,0.379,0.401,130.093,3CaqjyISMBli311fJtv44h,127154
0.638,0.438,-8.248,0.0516,0.787,3.05e-05,0.118,0.815,137.879,3GN2CxLdV7NO5K6Nnt79Fn,143744
0.754,0.536,-8.967,0.0281,0.302,0.0,0.094,0.707,119.985,4b7ZRkZME6eDQmcskhNfsB,176750
0.674,0.729,-7.309,0.0315,0.095,0.000426,0.35,0.837,121.977,7nNe66m3zuscn2Tn4nJwAs,245572
0.805,0.666,-8.314,0.13,0.302,0.00435,0.283,0.551,95.999,21M3XwoJcEXdLp9cQPJKeK,208607
0.743,0.804,-5.839,0.039,0.112,0.00325,0.131,0.951,112.019,0nddhkhTtvxd7kh7QdnkFR,225938
0.861,0.583,-7.818,0.0482,0.685,0.000859,0.0996,0.652,121.961,4ItghFzjyBOtbR8J4mJ0hP,167385
0.843,0.428,-11.362,0.0331,0.625,0.000345,0.103,0.796,113.949,3WCJS3iT5DIHYYBd7Obm38,151730
0.794,0.418,-7.985,0.0318,0.481,5.22e-05,0.103,0.454,102.022,5rQgmnv0aL1M4OkpuygX8n,214912
0.769,0.51,-6.222,0.273,0.0696,0.000199,0.074,0.531,82.085,0JXHO4wgfodS3W226cKmbw,159119
0.611,0.475,-9.621,0.0982,0.128,0.0,0.119,0.4,78.049,4jZysO9Cyydag0oBsGgPCc,179250
0.782,0.678,-9.806,0.0465,0.696,0.00272,0.329,0.844,134.883,5RbKTXlUFjnVIkEuawAFFS,140000
0.666,0.765,-6.33,0.0305,0.17,9.21e-05,0.103,0.207,114.963,4gdOWgc1SkqadQPJN7oxpF,287427
0.734,0.599,-9.264,0.0353,0.021,0.00311,0.0588,0.0711,118.976,6oXkPSXiGr3Y94SzpeT7OT,170672
0.602,0.809,-6.232,0.0442,0.00672,0.00822,0.139,0.759,135.022,67tXLMcNhEfTYBsuBQ8aHE,186202
0.687,0.681,-6.788,0.0265,0.00771,0.351,0.0956,0.426,116.009,0P9nPSZTrFXB5vvVBqEC6n,195484
0.621,0.564,-9.321,0.0301,0.00191,0.0315,0.178,0.397,129.997,5Kb5RhVvDm5he4xTJ1aNqQ,251452
0.638,0.447,-8.038,0.234,0.66,1.39e-05,0.224,0.365,62.499,4ubAsBARZm0vPnlHXToW6s,205176
0.652,0.484,-10.34,0.0423,0.798,0.109,0.15,0.731,150.066,3povKjvwiUdFlZBljnyAcW,272113
0.744,0.385,-10.731,0.0477,0.894,2.48e-06,0.117,0.67,149.912,7dISBFSBaBcIip9ih3fGK0,172385
0.724,0.667,-7.607,0.0315,0.0307,0.0439,0.0903,0.952,128.018,2Qk4jBRm07hWUp2F0oF5N1,168827
0.717,0.769,-7.064,0.0254,0.185,0.0,0.0433,0.81,94.994,2XG984NwccfYnybHeKdotO,304421
