danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.738,0.8,-3.366,0.0283,0.043,0.0543,0.595,0.532,122.858,65DBZofI0b79kfHTcWWDuU,200800
0.537,0.502,-8.406,0.025,0.44,0.0709,0.199,0.288,80.511,3oqWr0jDWNXxWufNogGREp,232027
0.3,0.428,-9.207,0.0283,0.655,0.00786,0.974,0.174,95.986,4olGOQU6lKPpw3NiuXKtae,247884
0.58,0.929,-4.849,0.0388,0.0629,0.000223,0.23,0.884,94.995,0dsViRiDTIuexAL42Nc1Kh,156198
0.724,0.856,-6.119,0.0283,0.0653,1.85e-06,0.354,0.891,129.794,1qvY1z3Wm3sAYeHfPTnrbI,161800
0.509,0.887,-6.647,0.0392,0.183,0.0,0.355,0.824,145.088,2RognU2ViRdA6HxnpAITJl,222347
0.605,0.349,-13.719,0.096,0.238,0.0,0.0753,0.6,99.362,7JEnT0uFWcwZqNZWv7hC9N,168345
0.695,0.786,-7.435,0.0303,0.0926,0.0,0.0987,0.861,146.863,6aPoVnA9UDncMyKgTAicsO,218493
0.742,0.61,-7.596,0.0853,0.175,0.0,0.0493,0.722,113.281,3ydweVPwq9PCEVJ8WwqT6u,313000
0.603,0.929,-4.549,0.0407,0.0121,0.00217,0.131,0.537,101.208,71awpJoi5bqGMBrTkHDDoL,292267
0.672,0.837,-8.143,0.0281,0.00379,0.00016,0.893,0.911,124.854,24LCJ8C0D8kx6iplic9SDV,281520
0.495,0.596,-5.45,0.024,0.14,0.00316,0.114,0.284,94.119,1rh4kDY9T4fHVDum8Foi5k,233747
0.679,0.368,-15.449,0.0251,0.689,1.02e-05,0.28,0.736,104.931,2qBirMakpTdz9ymxrZEyzg,160867
0.687,0.387,-9.842,0.0273,0.203,0.000335,0.0913,0.602,112.722,2jEjxOyKqMpkcThWl697hf,185826
0.557,0.603,-7.123,0.0337,0.0864,0.00467,0.217,0.62,111.06,7JvKnVhM6qksNREXInCsXo,199573
0.72,0.325,-16.922,0.0319,0.0756,0.0,0.308,0.318,101.3,2PkTjm1QAJCZbJ9MqC4RqA,178267
0.641,0.797,-6.536,0.0431,0.00357,3.25e-05,0.0279,0.655,94.884,1PQzZbitOJ6XPFg7FFzsKQ,311893
0.444,0.471,-9.107,0.0322,0.00161,0.00159,0.14,0.205,76.335,6gwaa6ElIixNTvu6RwkMyo,273800
0.713,0.682,-8.649,0.0778,0.179,0.0255,0.195,0.252,177.317,1qWLCuCnNcQVVzJm4pu7Zv,316427
0.626,0.389,-11.609,0.0254,0.677,1.12e-05,0.117,0.656,97.708,6rg1MBZqggsQ5olFGTw0rr,212880
0.593,0.926,-3.696,0.0322,0.242,1.57e-06,0.207,0.961,104.854,1ZGs4W7LBJy68hRPTsvMFc,234813
0.655,0.894,-7.696,0.0994,0.0271,0.0684,0.0414,0.785,152.354,4VikOud5ZmdmHH6h7uQeDB,206720
0.551,0.895,-4.267,0.0391,0.00268,0.0402,0.299,0.359,127.221,1Tja3miBbbENpqIOAqGWXa,317613
0.491,0.862,-7.573,0.0365,8.91e-05,0.00258,0.185,0.271,138.956,6WgUNHiMwJazeG4kWPAH1m,204920
0.774,0.615,-7.614,0.0314,0.181,0.0107,0.141,0.703,136.851,4UXE0ZLGIoLUOFqTECzoQe,273307
0.635,0.682,-7.072,0.0262,0.0304,1.9e-05,0.09,0.712,134.97,7fbuABzGfagLWkI54bxL6c,231533
0.559,0.711,-7.186,0.0269,0.333,0.00219,0.394,0.769,155.934,7q7XFO9av9VpNJSXKJwJxD,250358
0.724,0.939,-4.223,0.065,0.116,0.0,0.0225,0.735,103.091,5nofWp3plvxYX1xgHpe4fi,243720
0.616,0.701,-8.467,0.0629,0.00321,0.0,0.39,0.411,78.983,29iIRrSuANyjnwag69PHOJ,135973
0.476,0.456,-7.41,0.0316,0.556,0.0,0.104,0.46,84.052,1Ig4pCPanhzXl7C86MmBUc,161133
0.611,0.803,-6.022,0.0278,0.0823,0.855,0.0942,0.715,126.506,7J2885UBOaG6x3LLkp2YGf,346053
0.591,0.777,-6.307,0.0401,0.494,0.0,0.383,0.621,123.264,0fHTVPRRKmWaRuIwrsNTMp,261627
0.641,0.676,-5.627,0.0351,0.326,0.0,0.101,0.461,89.991,0NELwHhQu4EVcmGmu8D7vV,249933
0.465,0.342,-12.128,0.0283,0.156,0.0,0.0716,0.778,98.433,6Soxxi73U6SO4rOGJwYYxI,240013
0.436,0.797,-6.763,0.0641,0.0092,0.00539,0.602,0.71,126.949,6EIa9ndihAihOlcDNLx6Wx,223040
0.558,0.73,-6.664,0.0278,0.0293,4.94e-06,0.475,0.873,127.973,60IzIxSuVAtU71yCmHjxHH,181827
0.765,0.849,-4.511,0.0287,0.133,0.000625,0.218,0.958,107.548,41MfyUSxQoo1BgIsNj8eDS,237347
0.508,0.878,-5.971,0.0361,2.13e-05,1.83e-05,0.121,0.342,122.086,5O5PY5HJNPxD7KyqU0SEhH,377399
0.532,0.884,-4.941,0.0398,0.148,6.76e-06,0.154,0.781,128.074,7qIw4D1PcDHigDohKkLB0W,235560
0.63,0.679,-4.423,0.0392,0.105,0.0,0.241,0.774,92.02,56mbNpJVn5WQhOlsOvb2A0,263933
0.566,0.738,-6.682,0.0451,0.0734,0.000119,0.0431,0.821,80.475,2bWzlW7v7jQlZF8MQ5bWGb,176840
0.632,0.49,-6.097,0.0273,0.296,0.0,0.109,0.395,117.973,1L9ybuuZdLY3biLEgfN4zB,320760
0.5,0.295,-12.971,0.0384,0.859,0.00511,0.197,0.247,125.718,61zbxB39zUY5oxBvEvvMYv,202513
0.622,0.697,-11.158,0.0288,0.194,0.0,0.305,0.843,138.013,46bGEqzd7anKKovVOZ9bTF,201773
0.647,0.853,-7.075,0.0286,0.225,0.00505,0.261,0.781,108.698,0jePqZlutXGa8xz6NNyKAy,217373
0.648,0.535,-12.239,0.314,0.286,0.0,0.073,0.589,176.114,3obYcaXHdTB1EvZE3PVQhd,186467
0.618,0.699,-5.696,0.0275,0.0109,0.00022,0.26,0.61,112.33,02ZtIbjdZKpvdeUNmY0LWp,212400
0.684,0.624,-7.914,0.0657,0.19,0.000113,0.0523,0.916,174.617,05j96TmQibUyoaUAlxMW81,160040
0.363,0.902,-4.051,0.0403,0.00288,3.34e-05,0.285,0.443,134.597,0ljyHIWERJQp8O5LKgKm1l,264838
0.553,0.344,-13.237,0.0292,0.297,0.000453,0.236,0.293,87.432,6hmYi0E6EBEmDeztQHaH0C,204467
0.839,0.448,-15.116,0.0389,0.0087,0.019,0.0606,0.919,131.698,7cwtDwkH0PHHQmfbkZM8Ox,313840
0.731,0.94,-5.567,0.0532,0.0429,0.00285,0.0556,0.915,123.634,5QpdTr2fHXLF0Oj8TcGHmV,253933
0.582,0.966,-3.712,0.0675,0.0516,0.231,0.0412,0.948,186.296,3caBCFURBMGqZYrZUc7j8s,158293
0.55,0.413,-9.489,0.0269,0.359,0.000102,0.118,0.401,124.918,6guoJhM9n5Fm7npXJ1rfsM,264840
0.437,0.875,-5.366,0.0318,0.00363,0.000532,0.29,0.724,145.474,7EFMYtN7FFFNLzxOa9OgGC,208400
0.61,0.921,-4.184,0.0349,0.00352,0.341,0.223,0.631,108.032,7L2arBxHMxVXbWQzaHKgnY,277011
0.644,0.508,-13.678,0.0433,0.107,8.3e-05,0.15,0.883,155.633,0u5w3ehyNtTgSPvKVMU2xv,266787
0.755,0.922,-4.83,0.0696,0.136,2.91e-06,0.274,0.904,107.853,1CwyfupBufLXfYdPr8LhDF,252427
