danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.913,0.584,-5.263,0.223,0.521,5.36e-05,0.307,0.627,119.873,2xVcCDRgG3TrH69TatsUxp,174370
0.806,0.83,-3.767,0.0981,0.117,0.0,0.101,0.663,81.01,1j4yhkxSCEDmiLVKjpYKWq,217255
0.667,0.81,-2.801,0.344,0.0922,0.0,0.131,0.829,121.373,2I0aHZjCXh6UjMHIOqugYF,180060
0.676,0.858,-2.636,0.0467,0.0354,0.0,0.211,0.67,139.998,2oW52tBeJNSv93Ct5AJb8q,161173
0.673,0.69,-4.557,0.0644,0.543,0.000114,0.42,0.47,123.016,79Mko9WRph1VIsxiUom4zv,189001
0.733,0.822,-3.842,0.077,0.0308,0.0,0.101,0.348,122.005,2ypbIXW3a7fsLdLtLpZWDZ,188784
0.822,0.75,-4.707,0.0845,0.0526,2.04e-06,0.092,0.688,94.983,15r68Um6LBYYBGUEEkqRkB,220632
0.735,0.839,-3.946,0.37,0.595,0.000544,0.107,0.669,94.653,5LH8MkYXQ9C43PNrbCMVwq,218400
0.934,0.566,-6.577,0.0842,0.17,3.01e-05,0.0747,0.74,126.885,1ttR4WB57ZZQqVBGiUZVis,127068
0.735,0.662,-4.555,0.0506,0.392,0.0,0.0809,0.605,91.0,3iwKWIaEZ5jafPYZZSCDLz,190334
0.678,0.89,-2.737,0.0411,0.391,0.0,0.453,0.617,95.0,3lAPRVmezONEzjHgzOvh5m,231364
0.846,0.644,-5.324,0.0574,0.153,0.0503,0.167,0.593,112.991,387oM5dFcFw1I5aWThdRfN,155310
0.812,0.586,-5.767,0.114,0.0557,3.7e-06,0.225,0.692,174.05,3KSldp6Yh0XIvN0tyPJWK4,268321
0.706,0.537,-7.038,0.29,0.432,0.000289,0.101,0.559,165.894,44Rn60e3tDPDAYARpHFoVN,186200
0.751,0.749,-8.001,0.287,0.133,0.0,0.137,0.641,86.006,5vClRBOUMbPCdV6WXp9PCG,262733
0.805,0.61,-4.261,0.0372,0.382,0.0,0.153,0.805,125.023,7uZ5C69LskNw0B4szvVWI5,235435
0.762,0.608,-6.344,0.0399,0.073,6.59e-05,0.595,0.686,87.985,2cyFoye18xtRTd13CEzH9D,186832
0.503,0.488,-6.734,0.0384,0.495,0.0,0.104,0.428,163.738,6d920UMBw9naD9ggKvIiMT,219673
0.413,0.361,-6.322,0.0342,0.225,0.0,0.0877,0.496,76.114,7nHD3IwYISHWeX946ZBUhp,220747
0.355,0.358,-6.486,0.0403,0.522,0.0,0.302,0.496,78.815,1wpYlTOjnNjg4NFOSfEZAQ,233067
0.702,0.917,-8.441,0.131,0.0851,1.78e-06,0.126,0.384,126.007,4dg25o2Jb0tBFAKzRHUNgD,143008
0.774,0.586,-11.151,0.0505,0.0103,9.13e-05,0.393,0.194,111.955,2gchtRbil9VN634sdctpi9,201557
0.948,0.916,-2.248,0.132,0.0814,0.00107,0.203,0.866,114.999,5WOzZJJJIEuh0thdCS0LkF,248870
0.893,0.978,-4.054,0.174,0.0983,0.0343,0.158,0.634,125.988,4BbgaqfPNjhW2gy6dSpsKG,130124
0.815,0.526,-5.964,0.0328,0.665,1.13e-05,0.0835,0.767,98.057,5KakcOWfWypEerRhf9qt6S,173035
0.734,0.728,-6.218,0.0435,0.138,0.0,0.116,0.583,93.996,6YNzvCsLwAJ4xZjdK9qk3r,483684
0.788,0.721,-6.628,0.107,0.0909,0.00027,0.112,0.853,97.011,29kHOoRH4s4Ay9eti9Udpb,158454
0.778,0.559,-6.108,0.0724,0.262,0.0,0.0776,0.651,146.041,5RY2D7x6vmREBPQa3uq0sd,147945
0.686,0.742,-4.066,0.364,0.275,0.00108,0.135,0.563,114.287,1VlFfjuvM7rLAimCQWnlCS,207105
0.817,0.54,-4.429,0.055,0.131,1.46e-06,0.0628,0.658,128.042,0odZdDl8RXj47JF2NGD6Vy,151620
0.545,0.832,-0.362,0.365,0.101,0.00138,0.614,0.517,173.955,3KvshDFG7oEN6MDVQI2NHD,127139
0.761,0.684,-7.36,0.156,0.0488,0.0,0.085,0.451,94.976,4Aoateww5S7sAtrdpy1a6b,176011
0.766,0.688,-2.777,0.213,0.244,0.000105,0.0994,0.871,180.109,5oVdxjNUUjf9Q06LnPYYay,188689
0.619,0.614,-5.049,0.235,0.352,0.0,0.179,0.405,90.029,578E0MbbgdwDuUTqpWbeOD,164000
0.649,0.34,-10.585,0.0306,0.85,0.0,0.147,0.326,94.917,618pUrQAjE9mesrceZpu8u,191019
0.409,0.407,-9.828,0.046,0.81,1.24e-06,0.262,0.528,172.068,4X1h5E9JSl1hlyuRJNLnOe,162209
0.603,0.558,-5.236,0.0628,0.397,0.0,0.471,0.78,154.89,2Sq8nivB0lT67tpg2xgIcG,151969
0.752,0.387,-10.256,0.0318,0.529,6.05e-05,0.0743,0.757,104.031,1ErWnacP0i3my6KJn35b6q,206872
0.274,0.463,-6.152,0.0324,0.0827,0.0,0.102,0.282,74.649,3G2YRXrY1NRVaNdvvcCvYl,217747
0.764,0.577,-7.764,0.0361,0.113,0.0118,0.183,0.563,124.002,56IhOJAcMc28qxDqjmuwJC,215867
0.824,0.919,-3.188,0.109,0.00616,0.00909,0.0743,0.673,114.029,4NZ71AIKdrpxMsSVTvggDe,195530
0.754,0.681,-7.543,0.0385,0.41,3.89e-06,0.0729,0.747,128.011,6Ep2ZXUC4ZYS2NXIr4DXxp,257083
0.922,0.769,-4.44,0.188,0.213,5.8e-06,0.0486,0.595,117.975,5QoIh1espVh3aT1aK9LItK,122201
0.472,0.439,-9.019,0.0323,0.804,0.000664,0.312,0.543,89.175,5jYs2DR2i6PNDLE9vnZGNe,201600
0.682,0.623,-5.459,0.0301,0.466,0.0,0.33,0.638,130.062,410oSeukkBVpi4w8cAJfDy,270600
0.714,0.751,-3.804,0.508,0.385,0.0,0.122,0.594,194.054,6vfjbHTiVh68wj6XioqhdA,148454
0.82,0.659,-5.815,0.0953,0.0588,0.00531,0.142,0.714,92.017,7L3doUqV5MEJbf0oONrYIx,195955
0.71,0.612,-3.691,0.146,0.148,4.97e-05,0.0999,0.867,94.943,7Hmcs1D3M0OeZQIdQ2HhRa,184421
0.759,0.527,-5.591,0.109,0.57,0.0,0.0898,0.506,94.012,14f2gp0LAinhHsTgWxreXY,148860
0.798,0.815,-3.981,0.0647,0.0971,0.0,0.104,0.786,100.02,0nYhrZ9tj9I6V9JKSwViRh,185850
0.746,0.659,-8.084,0.244,0.35,0.0,0.223,0.297,105.06,2na6qBnSYnecfNeXp4MufD,179643
0.723,0.554,-4.613,0.133,0.601,0.0,0.0889,0.206,83.911,4ECQfOTkdWbWpd62UJk796,162187
0.66,0.613,-7.148,0.0732,0.237,8.95e-06,0.107,0.701,184.014,1HTKClBb9i0xX3Hdqxu8tR,128753
0.744,0.919,-2.402,0.326,0.321,0.0,0.0925,0.64,95.866,4PmoSJ19NsTzABBDPFZIyO,180062
0.671,0.771,-3.468,0.39,0.407,2.18e-06,0.102,0.732,195.892,0ghHrkfgvoO1gCcT9ajMf3,171733
0.802,0.654,-3.97,0.292,0.0851,0.0,0.117,0.744,88.145,777DkPQH14o7HsS9jtqE4Y,190909
0.868,0.362,-8.361,0.375,0.409,9.01e-06,0.105,0.253,80.99,19ucvAFRVyPIf093e7ArrR,195556
0.638,0.943,-3.036,0.111,0.476,0.0,0.239,0.783,91.622,0E7la0I7QrV6RKtBaCQqvg,232952
0.628,0.481,-6.808,0.124,0.593,0.0,0.231,0.364,91.932,1d0oVJE9NW9cxubVR0PcMw,180667
0.735,0.534,-8.415,0.11,0.105,5.5e-06,0.102,0.695,111.939,2KUzDVEcY87zn03oSceDxZ,190714
0.665,0.496,-6.024,0.0621,0.418,0.000625,0.0987,0.323,80.033,3WPrnwpxefLYwGejFCpP7W,147533
0.658,0.728,-6.12,0.112,0.156,0.0,0.0999,0.778,147.955,3jgcsgTohlIJFnThmx94uU,231892
0.545,0.797,-2.654,0.264,0.528,0.0,0.119,0.637,102.036,0QF2no7lD9QMMEUWynDwrO,187832
0.825,0.875,-6.191,0.17,0.174,1.32e-05,0.172,0.809,100.038,0Mg7ZvxW1vAHAE4T7Q8sbo,150000
0.721,0.614,-10.662,0.251,0.283,0.0,0.252,0.51,85.935,2lqbqalkDbc75TCmaRt87o,85055
0.579,0.94,-1.285,0.262,0.0198,0.0,0.17,0.702,174.975,10eG8B2yJvRGHn7P0IDnKL,105047
0.538,0.564,-8.756,0.0681,0.0919,0.236,0.105,0.66,83.816,0qiSLX9AQpZtZelmMa6tNF,127284
0.65,0.972,-5.549,0.03,0.0111,0.736,0.568,0.5,123.0,52d3MVht4JFyhxi2MJeYu1,255942
0.743,0.64,-6.978,0.137,0.0199,0.000342,0.189,0.251,121.024,7LCVRDkKetzQqMN3ONPvqn,212957
0.762,0.915,-2.596,0.0636,0.455,0.0,0.157,0.735,131.965,2jZrMlMuTk1N3LJS8yQM6q,175226
