danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.804,0.555,-4.991,0.107,0.0924,0.0,0.0699,0.64,89.946,7w7BrPbOjF5OxChs2dxFve,172118
0.838,0.79,-1.602,0.108,0.431,3.33e-06,0.184,0.962,92.927,1DxEbt6OSbrkRthk6pjZue,161452
0.746,0.729,-5.855,0.063,0.298,0.0,0.271,0.755,87.971,1eIDsKCLwZF6CJK8pOgHX5,158310
0.917,0.69,-4.997,0.229,0.057,7.61e-05,0.0734,0.556,95.013,5sMcmy7UVizJoSm9YNZFyZ,150316
0.736,0.9,-4.575,0.0825,0.224,0.0,0.375,0.562,149.947,6jRZ33ifS5VOTMwmPxhPhN,204000
0.693,0.756,-5.209,0.0477,0.5,4.67e-05,0.135,0.53,94.884,4I4FFtKZLtyqw4he9pPtL7,170058
0.793,0.736,-3.254,0.0469,0.0822,0.0,0.109,0.656,112.993,0Sfn2TYbpQtCGMBf6C0Y6T,237525
0.913,0.584,-5.263,0.223,0.521,5.36e-05,0.307,0.627,119.873,2xVcCDRgG3TrH69TatsUxp,174370
0.774,0.877,-4.054,0.0623,0.0304,0.0,0.429,0.648,92.997,3fUZbg31mIJKIxuv8nUcGg,163260
0.605,0.572,-6.06,0.0435,0.144,0.0,0.721,0.834,84.827,4J1vAbtAhMdsdpO1sKU3EO,186735
0.872,0.544,-7.097,0.306,0.233,0.0,0.26,0.593,98.024,1DTmxMoV47mkuTrSY2xkyl,138980
0.681,0.711,-4.79,0.0846,0.0278,0.0,0.312,0.826,89.89,1PAvhqefivTNdxZ4u8RT1d,156319
0.883,0.66,-5.829,0.0645,0.213,7.51e-06,0.0723,0.588,96.975,2ALRaYszX1wDifP6HrcdqS,162062
0.678,0.624,-3.712,0.0589,0.279,0.0,0.105,0.927,90.983,7HdEUquZzUzPjgSllvlJGl,145055
0.899,0.442,-8.931,0.291,0.106,1.57e-06,0.215,0.766,117.053,4CVhywni3QwalKLZgwFi58,140288
0.864,0.667,-4.617,0.0833,0.245,0.0,0.0998,0.782,96.889,4qXWX3OmEKp0YCnnxJqTMO,149083
0.765,0.872,-5.863,0.0498,0.173,5.65e-06,0.0749,0.722,94.999,0NO2zL0kw8sGGnaMvHKAZF,237474
