danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.647,0.514,-10.05,0.0593,0.0655,0.0,0.398,0.386,79.975,1DIXPcTDzTj8ZMHt3PDt8p,240693
0.315,0.715,-8.072,0.0362,0.00125,7.97e-06,0.0942,0.497,155.925,6Qyc6fS4DsZjB2mRW9DsQs,289533
0.502,0.89,-5.175,0.0364,0.000147,0.0117,0.217,0.259,133.52,57bgtoPSgt236HzfBOd8kj,292880
0.666,0.855,-5.051,0.0295,0.179,1.2e-06,0.0987,0.803,125.639,31AOj9sFz2gM0O3hMARRBx,268427
0.592,0.767,-2.788,0.027,0.0021,0.00165,0.127,0.328,96.483,48UPSzbZjgc449aqz8bxox,329733
0.442,0.943,-3.205,0.0602,0.00293,8.71e-06,0.091,0.781,85.064,6L89mwZXSOwYl76YXfX13s,181533
0.565,0.564,-10.044,0.0292,0.161,0.0,0.114,0.454,134.355,0jWgAnTrNZmOGmqgvHhZEm,295533
0.743,0.675,-4.267,0.0953,0.0251,0.000717,0.0685,0.59,92.909,1KGi9sZVMeszgZOWivFpxs,214400
0.356,0.917,-6.006,0.0479,0.0335,0.0,0.406,0.518,171.176,57iDDD9N9tTWe75x6qhStw,357267
0.452,0.524,-10.108,0.0351,0.315,0.0,0.103,0.246,151.505,3ovjw5HZZv43SxTwApooCM,312360
0.559,0.345,-13.496,0.0459,0.0576,0.000105,0.141,0.458,84.581,3d9DChrdc6BOeFsbrZ3Is0,264307
0.496,0.739,-7.193,0.0415,0.0211,0.00444,0.106,0.378,132.41,4JiEyzf0Md7KEFFGWDDdCr,336000
0.391,0.951,-7.419,0.0692,0.0126,0.000378,0.0878,0.468,157.66,4LJhJ6DQS7NwE7UKtvcM52,148360
0.731,0.867,-5.881,0.032,0.0395,0.0,0.0861,0.776,104.019,3cfOd4CMv2snFaKAnMdnvK,200373
0.526,0.749,-6.964,0.0283,0.023,1.76e-06,0.0692,0.421,99.982,754kgU5rWscRTfvlsuEwFp,208680
0.578,0.817,-6.542,0.0363,0.183,3.06e-06,0.285,0.726,141.621,5DiXcVovI0FcY2s0icWWUu,272293
0.867,0.646,-4.674,0.288,0.303,0.0,0.279,0.67,88.634,6MdqqkQ8sSC0WB4i8PyRuQ,304600
0.713,0.678,-3.525,0.102,0.273,0.0,0.149,0.734,138.009,7H6ev70Weq6DdpZyyTmUXk,271333
0.375,0.893,-4.097,0.0406,0.000509,0.0,0.187,0.434,174.323,7ygpwy2qP3NbrxVkHvUhXY,258773
0.652,0.917,-6.72,0.0548,0.0082,0.0,0.0509,0.459,132.975,2goLsvvODILDzeeiT4dAoR,239027
0.35,0.828,-5.373,0.041,0.000217,0.000161,0.0774,0.147,105.435,2EoOZnxNgtmZaD8uUmz2nD,318587
0.52,0.709,-7.125,0.0352,0.247,1.78e-05,0.18,0.536,76.039,6urCAbunOQI4bLhmGpX7iS,263560
0.5,0.824,-5.846,0.0388,0.00016,0.00161,0.0916,0.539,120.125,4P5KoWXOxwuobLmHXLMobV,218920
0.465,0.919,-4.025,0.0408,1.83e-05,2.07e-05,0.262,0.537,135.997,5OQsiBsky2k2kDKy2bX2eT,235293
0.439,0.434,-14.918,0.0265,0.0783,4.87e-05,0.14,0.204,94.845,0gEyKnHvgkrkBM6fbeHdwK,274707
0.392,0.534,-8.793,0.0369,0.245,0.00104,0.155,0.325,181.305,3G69vJMWsX6ZohTykad2AU,276187
0.669,0.727,-7.588,0.0353,0.139,0.0,0.123,0.807,102.322,6xkryXuiZU360Lngd4sx13,243493
0.389,0.476,-9.342,0.0316,0.619,5.09e-05,0.255,0.566,148.117,6txWz9UapYHVxEd7dDIHXT,217107
0.284,0.875,-6.069,0.0422,0.00752,0.000461,0.402,0.595,75.009,1L94M3KIu7QluZe63g64rv,340907
0.715,0.833,-5.379,0.108,0.00631,0.0,0.164,0.612,95.487,3jDdpx9PMlfMBS5tOBHFm9,213093
0.419,0.383,-11.782,0.0256,0.0724,0.0176,0.0896,0.35,87.568,2a1iMaoWQ5MnvLFBDv4qkf,257480
0.551,0.643,-13.091,0.0353,0.00313,0.00385,0.421,0.514,128.661,4JGKZS7h4Qa16gOU3oNETV,271560
0.645,0.792,-7.34,0.036,0.0562,0.0121,0.119,0.666,90.565,7nnWIPM5hwE3DaUBkvOIpy,232453
0.849,0.521,-12.999,0.216,0.304,1.65e-06,0.115,0.763,95.265,7nYvUtkQMx1v80S2FH2s9J,248867
0.621,0.901,-5.396,0.0302,0.17,0.0,0.0875,0.744,113.967,1Cwsd5xI8CajJz795oy4XF,300773
0.798,0.625,-9.689,0.0548,0.00547,7.98e-05,0.103,0.858,93.764,6kWJvPfC4DgUpRsXKNa9z9,211213
0.535,0.505,-8.926,0.245,0.0393,0.0,0.0923,0.495,99.935,0uEp9E98JB5awlA084uaIg,320267
0.845,0.884,-4.506,0.0759,0.0128,2.1e-06,0.203,0.904,104.536,4INDiWSKvqSKDEu7mh8HFz,257400
0.64,0.864,-6.576,0.0314,0.00832,0.0,0.123,0.701,102.026,42et6fnHCw1HIPSrdPprMl,268360
0.472,0.652,-10.171,0.0305,0.0131,1.12e-05,0.14,0.401,140.124,0wokCRaKD0zPNhMRXAgVsr,340200
0.831,0.921,-2.383,0.0582,0.153,0.00224,0.305,0.795,108.002,4jnFqNWeJCeCRHc4HCdxfd,239227
0.452,0.909,-3.977,0.0366,0.0313,0.0603,0.23,0.805,124.623,1v2zyAJrChw5JnfafSkwkJ,225787
0.736,0.811,-4.17,0.081,0.00132,0.000142,0.107,0.609,103.502,4BggEwLhGfrbrl7JBhC8EC,216733
0.607,0.422,-13.364,0.499,0.209,0.0,0.0839,0.563,130.47,3vZO25GdYuqFrR1kzZADnp,226987
0.467,0.958,-4.808,0.0775,0.000479,0.199,0.299,0.701,145.92,5xC8uOesnn0udeXAYlAnoY,180880
0.599,0.79,-3.58,0.043,0.00257,0.00181,0.312,0.961,103.783,05NYcsjJwOYq4jIiKPVj9p,188067
0.651,0.766,-9.935,0.0299,0.206,0.00103,0.362,0.949,116.74,17S4XrLvF5jlGvGCJHgF51,242107
0.808,0.786,-6.897,0.0447,0.00928,0.0701,0.0574,0.899,96.987,0hrBpAOgrt8RXigk83LLNE,191240
0.567,0.512,-8.831,0.0357,0.545,0.0,0.296,0.334,130.271,5fgkjhICZnqFctrV0AyuQD,252613
0.408,0.582,-8.305,0.0508,0.218,0.0,0.159,0.365,114.926,1d6KS9GH06JAd19uiBy9IE,230000
0.622,0.829,-5.548,0.029,0.11,0.0,0.0954,0.539,110.367,1uzWOoJdADfstQuFtQFTUn,257373
0.42,0.672,-7.902,0.027,0.0067,0.0,0.108,0.476,168.019,2KVwlelhxKUy8LVV6JypH3,238667
0.615,0.419,-8.8,0.0395,0.0173,0.497,0.135,0.216,76.997,67Hna13dNDkZvBpTXRIaOJ,330773
0.757,0.757,-7.598,0.0389,0.235,0.0,0.0474,0.967,124.956,4FUfoWMypAyWbOavmYyeNu,218867
0.537,0.84,-4.626,0.0363,0.2,2.15e-06,0.0998,0.211,124.269,7mnGQesk1TzQLzQ9bYWZPR,224693
0.395,0.843,-4.476,0.0374,0.00483,0.0,0.0404,0.481,112.423,0nnwn7LWHCAu09jfuH1xTA,212067
0.881,0.874,-4.505,0.139,0.0175,1.14e-06,0.154,0.858,107.891,0weAUscowxeqDtpCgtbpgp,227933
0.638,0.906,-4.824,0.0504,0.0662,6.88e-05,0.142,0.767,107.991,5lWRaa0fBxDE5yU91npPq7,209200
0.613,0.72,-7.957,0.0425,0.0132,0.0,0.104,0.561,117.341,3TW48DvQ7ChwY1Yy1tkMaP,265867
0.643,0.614,-12.878,0.0279,0.25,7.17e-06,0.214,0.891,93.982,6tXnRSvuNgOq4QcxpIN54r,224467
0.67,0.558,-9.159,0.0251,0.238,0.0,0.106,0.63,80.511,5mkGfmJGFZpwK9nA5amOhv,173493
0.543,0.912,-10.71,0.0601,0.00162,2.1e-06,0.0565,0.836,103.731,4ePP9So5xRzspjLFVVbj90,256733
0.617,0.886,-5.953,0.055,0.0112,9.63e-05,0.0523,0.629,96.328,3i6qNxyVgIdUZTTi5m25EM,252760
0.683,0.937,-6.335,0.0449,0.00481,0.0046,0.07,0.619,104.872,0lnxrQAd9ZxbhBBe7d8FO8,268653
0.877,0.534,-6.178,0.15,0.0339,1.67e-05,0.0441,0.89,108.17,6e8Ou0wiqAzIpWb2eSxll8,197560
0.49,0.873,-5.861,0.0355,0.107,5.19e-06,0.118,0.513,103.272,1OFKUn2VLafrHj7ybnap0Q,229587
0.604,0.755,-10.761,0.0337,0.000298,0.817,0.0625,0.387,137.064,4wtR6HB3XekEengMX17cpc,243267
0.939,0.675,-7.232,0.211,0.0915,0.0,0.0565,0.795,96.918,0Pu71wxadDlB8fJXfjIjeJ,248573
0.729,0.662,-7.191,0.337,0.00128,0.208,0.305,0.359,124.149,1mv4lh1rW1K6xhxhJmEezy,260907
0.82,0.528,-11.179,0.0321,0.111,0.0186,0.257,0.931,120.091,3ZpQiJ78LKINrW9SQTgbXd,272107
0.526,0.762,-12.437,0.0342,0.000972,0.000116,0.338,0.505,136.203,263aNAQCeFSWipk896byo6,214400
0.661,0.973,-2.994,0.037,0.11,1.74e-05,0.617,0.75,108.037,6sbXGUn9V9ZaLwLdOfpKRE,232827
0.609,0.923,-3.908,0.0338,0.16,4.73e-06,0.295,0.961,115.996,0n2SEXB2qoRQg171q7XqeW,294987
0.518,0.901,-3.749,0.093,0.174,0.0314,0.0712,0.873,115.026,7EsjkelQuoUlJXEw7SeVV4,254933
0.694,0.881,-4.053,0.0701,0.0153,0.0196,0.0851,0.924,121.554,2He3NOyqtLNE3RQPpeDdSb,231787
0.615,0.702,-9.686,0.0278,0.00746,0.00431,0.0608,0.734,96.987,53eJFr4Mfbw5PXJ01K6cFw,234333
0.702,0.898,-6.003,0.0373,0.00854,0.000154,0.0917,0.731,112.845,29hBRadFZf9QTGRHZmxm65,169760
0.679,0.557,-7.423,0.0281,0.0904,0.0324,0.0866,0.405,85.152,6vUPPEN2V2lZ78b6DyEIjZ,303133
0.546,0.931,-6.344,0.0341,0.000299,2.92e-05,0.11,0.643,125.495,7p9dd71JR2ucoAuO1Sy0VZ,204893
0.32,0.917,-5.903,0.0771,0.0717,0.0,0.169,0.715,190.757,15tHagkk8z306XkyOHqiip,188360
0.511,0.517,-9.653,0.0328,0.13,0.0,0.074,0.433,75.67,5x9RZg7HfXGY3JayXL3seF,241893
