danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.704,0.861,-4.221,0.0493,0.587,0.0615,0.0992,0.636,128.99,3u5N55tHf7hXATSQrjBh2q,213394
0.753,0.743,-6.419,0.0459,0.236,0.0,0.12,0.786,107.988,0tFY357QKe2GKvjcWA1kxK,242222
0.4,0.915,-4.89,0.28,0.0846,0.0,0.0503,0.878,88.917,2a1o6ZejUi8U3wzzOtCOYw,198773
0.675,0.888,-3.343,0.035,0.12,0.00967,0.337,0.526,119.018,139nCjBRQCLgnWNRxBKAC7,219832
0.758,0.871,-6.408,0.147,0.0062,0.0,0.0663,0.753,126.994,6bNB5gxFX6Q87DbQWb8OWZ,202627
0.592,0.935,-4.317,0.0581,0.00879,0.0154,0.132,0.567,125.013,1PCvKFPWnTXAe2oaReVUcr,222520
0.641,0.922,-4.457,0.0786,0.0291,0.0,0.0862,0.847,146.078,3bidbhpOYeV4knp8AIu8Xn,258343
0.367,0.915,-3.456,0.0488,0.0022,5.81e-05,0.0905,0.365,110.169,46NBoIAHrmR7qcUGCIFEjR,207273
0.71,0.879,-4.218,0.0422,0.158,0.00142,0.439,0.341,114.993,1RDvyOk4WtPCtoqciJwVn8,201391
0.621,0.907,-3.923,0.0474,0.091,0.0,0.067,0.884,128.056,3s6ltUrI93LBKU8taezsLn,233693
0.808,0.661,-6.237,0.0395,0.0358,0.0,0.138,0.804,107.992,45eY7Qi2PDUs8WJEhjGWdN,235556
0.58,0.767,-4.174,0.0557,0.313,0.0,0.0518,0.776,151.845,4nOygULhEuDO5ZBRNPFaso,212520
0.561,0.965,-3.673,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,4uUG5RXrOk84mYEfFvj3cK,175238
0.818,0.799,-4.1,0.156,0.00107,0.128,0.057,0.0815,100.014,67awxiNHNyjMXhVgsHuIrs,213733
0.963,0.905,-4.053,0.117,0.654,0.0481,0.107,0.594,123.998,7twsd0lwXyy0ARdsTyzHoJ,178530
0.805,0.637,-6.515,0.0869,0.228,0.0,0.071,0.678,140.045,1bwhDrXcAtqePp8mNJ0pTe,179427
0.747,0.877,-3.782,0.0664,0.0375,0.000833,0.233,0.752,107.991,500mvzh7TRZ0YdnVeHhj8b,166138
0.727,0.904,-3.408,0.064,0.0153,0.55,0.0963,0.372,124.02,6MKuYvesr8p8csU9jt5Roa,128500
0.791,0.862,-3.24,0.11,0.037,2.19e-05,0.0814,0.592,123.994,7ef4DlsgrMEH11cDZd32M6,214847
0.655,0.975,-4.246,0.0539,0.00614,0.632,0.327,0.969,132.967,5aIfLbdgkbH7NbQryd1poB,168445
0.595,0.896,-2.951,0.047,0.0641,5.82e-05,0.0748,0.567,118.001,2Iq6HhIquO7JKr0KfTNLzU,204812
0.822,0.89,-2.757,0.112,0.0382,0.00206,0.106,0.218,122.989,4SCbD68sf3dBfaE2X8uDSP,173659
0.744,0.766,-6.375,0.0265,0.0873,0.0,0.509,0.61,127.966,2H1047e0oMSj10dgp7p2VG,289133
0.779,0.542,-15.137,0.0515,0.0358,0.000659,0.33,0.647,116.284,6fw12s3vAJQAt7lbICodwC,198373
0.268,0.459,-6.948,0.0346,0.378,0.0,0.119,0.172,64.223,7ccI9cStQbQdystvc6TvxD,179200
0.758,0.913,-2.926,0.113,0.00364,6.92e-05,0.193,0.658,128.04,0b18g3G5spr4ZCkz7Y6Q0Q,186210
0.836,0.846,-4.673,0.0392,0.0907,0.047,0.057,0.942,122.042,0xfMlIW8lS40qvpsUw1l0X,169945
0.548,0.704,-4.838,0.0777,0.0168,2.25e-05,0.143,0.288,104.666,7COfe3P7KgfwDwIRB8LIDw,185040
0.582,0.944,-0.928,0.185,0.00573,1.27e-06,0.547,0.8,143.97,4DnHUy01jEA4b5ydC3HgsT,207977
0.713,0.938,-6.032,0.0481,0.0276,3.21e-05,0.626,0.706,126.974,0KnZ3Fgnqjmz4Sl2OA5zwa,277427
0.722,0.893,-3.255,0.0475,0.0441,0.000937,0.0673,0.439,119.932,3iw6V4LH7yPj1ESORX9RIN,116750
0.962,0.726,-5.697,0.4,0.152,0.0,0.0654,0.566,123.066,0D0np8Odu1PNamKfajA6AX,137133
0.548,0.978,-6.178,0.0724,0.00894,0.881,0.179,0.491,134.995,59mdyQniSaNFeXaKMGu9RB,232653
0.66,0.733,-4.619,0.0359,0.248,8.96e-06,0.17,0.304,119.933,2iL0W5qi0ivZ9WRXbZ74cS,217000
0.738,0.852,-5.421,0.176,0.219,0.0,0.392,0.839,125.947,2JJXv2r2EbFpLscGzhm8eU,168810
0.691,0.829,-7.179,0.0412,0.0289,0.0,0.254,0.866,93.059,6FvSS3Goz7OC8oCC2eWqe8,169154
0.658,0.709,-6.736,0.0904,0.00188,0.00447,0.0657,0.855,129.701,3GfOAdcoc3X5GPiiXmpBjK,121880
0.59,0.976,-4.866,0.0488,0.000154,0.293,0.155,0.686,114.996,7FNIEfhhBlzsZFxCwI5Nwh,213240
0.542,0.966,-8.255,0.0421,0.00107,0.128,0.0984,0.351,140.071,3bUNyRrTFJDd4mqvUcb1Aa,264187
0.507,0.828,-6.023,0.0449,0.00711,2.44e-05,0.261,0.489,178.032,0939D7aT18uBDS2MTjWzct,211295
