danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.707,0.681,-4.325,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,0yLdNVWF3Srea0uzk55zFn,200455
0.468,0.779,-4.839,0.0779,0.112,0.000373,0.101,0.26,173.799,1yvMUkIOTeUNtNWlWRgANS,217747
0.898,0.732,-3.982,0.0427,0.621,1.29e-05,0.0908,0.96,115.955,6maTPqynTmrkWIralgGaoP,142759
0.591,0.637,-6.365,0.03,0.0107,1.95e-06,0.113,0.432,99.998,11BKm0j4eYoCPPpCONAVwA,244760
0.612,0.319,-10.132,0.0312,0.892,0.93,0.103,0.727,129.878,1OuCn2F9BmyTAdM0Jylo9X,142227
0.742,0.508,-5.705,0.0539,0.368,2.72e-05,0.115,0.31,98.017,5yocaqYG38qpSSxV1t0o3D,231429
0.886,0.748,-9.584,0.0399,0.775,0.0635,0.0656,0.969,152.07,3scW7pt0vlhkCCgCNv5YR9,343354
0.838,0.79,-1.602,0.108,0.431,3.33e-06,0.184,0.962,92.927,1DxEbt6OSbrkRthk6pjZue,161452
0.775,0.465,-8.365,0.365,0.609,3.23e-05,0.114,0.707,169.781,6odrHMSLjP3aOXC4ipKUC6,223993
0.545,0.545,-7.362,0.107,0.667,5.48e-05,0.417,0.549,159.94,3xKsf9qdS1CyvXSMEid6g8,184516
0.954,0.516,-5.817,0.16,0.03,7.54e-06,0.0504,0.624,105.001,6UN73IYd0hZxLi8wFPMQij,139560
0.901,0.136,-16.127,0.102,0.667,0.354,0.109,0.643,150.076,7EAMXbLcL0qXmciM5SwMh2,211140
0.764,0.522,-10.804,0.0693,0.328,9.36e-06,0.152,0.153,135.053,1z5r6Rpcc1BreRtYALBncX,168000
0.798,0.628,-6.835,0.0699,0.7,0.0759,0.123,0.903,87.01,1i92UFFkxtKv4tYNzt1X1b,226799
0.696,0.809,-8.254,0.05,0.252,0.000128,0.248,0.857,132.962,6AQbmUe0Qwf5PZnt4HmTXv,131013
0.585,0.643,-8.392,0.0395,0.201,0.000306,0.144,0.592,152.98,3lGMtkONrZdJ8kTCg6KIFf,221800
0.622,0.471,-7.105,0.0277,0.0448,0.0,0.0957,0.278,124.455,5S5u0EWtlblH00iTNExZ6X,278293
0.577,0.363,-12.378,0.0263,0.86,0.000282,0.0868,0.265,91.511,75UMtPC77vqKRwfSuYuNPO,247197
0.778,0.632,-5.6,0.0493,0.274,0.0,0.0915,0.498,122.104,4nrPB8O7Y7wsOCJdgXkthe,218289
0.625,0.533,-11.903,0.0596,0.659,0.00266,0.0546,0.139,108.296,29d0nY7TzCoi22XBqDQkiP,300840
0.871,0.481,-9.068,0.0383,0.52,5.54e-05,0.0809,0.664,103.063,0ll9JAIrM3NVBOMl45sxSX,261200
0.582,0.813,-7.443,0.0433,0.143,0.0837,0.349,0.315,133.988,5bF00VrMY3FwnQDgoP4Gnk,234053
0.601,0.794,-5.844,0.0671,0.00987,1.36e-06,0.388,0.244,114.066,27rdGxbavYJeBphck5MZAF,217467
0.704,0.797,-5.927,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4h9wh7iOZ0GGn8QVp4RAOB,148486
0.715,0.62,-6.005,0.0484,0.417,0.0,0.0822,0.172,97.95,2dHHgzDwk4BJdRwy9uXhTO,221520
0.719,0.671,-6.279,0.0336,0.0372,8.21e-06,0.12,0.786,130.027,13P5rwmk2EsoFRIz9UCeh9,237627
0.591,0.333,-10.828,0.0434,0.901,0.000878,0.129,0.504,139.833,0xahPNJVFHGMEFxu9kergk,189681
0.554,0.854,-6.263,0.0567,0.102,9.26e-05,0.554,0.387,82.012,48CKzGWOC65n8a8kdANJV8,257744
0.862,0.739,-4.612,0.387,0.703,2.29e-05,0.141,0.885,98.073,3KI4rfS7kRC58Dd4ToY7P3,197663
0.917,0.69,-4.997,0.229,0.057,7.61e-05,0.0734,0.556,95.013,5sMcmy7UVizJoSm9YNZFyZ,150316
0.783,0.729,-3.549,0.0691,0.0492,0.000272,0.1,0.58,167.968,4FAKtPVycI4DxoOHC01YqD,216148
0.871,0.563,-6.422,0.0618,0.56,0.0,0.0665,0.457,88.96,60DHrnRAhNJMy4WeEf23NH,143402
0.889,0.742,-3.495,0.358,0.299,0.000568,0.066,0.479,130.089,4UldILPVpnZO69ffK4B9aA,149077
0.895,0.847,-5.25,0.0519,0.16,0.223,0.338,0.735,101.006,4ilZV1WNjL7IxwE81OnaRY,153063
0.815,0.365,-10.823,0.0955,0.0031,0.0,0.107,0.413,95.518,2Sur4LiJLj4grpAK3u0xmX,183199
0.464,0.417,-9.345,0.0256,0.136,0.022,0.0974,0.479,67.528,5XeFesFbtLpXzIVDNQP22n,183956
0.551,0.55,-5.339,0.0286,0.777,0.0,0.202,0.342,101.19,1Y3LN4zO1Edc2EluIoSPJN,176440
0.398,0.705,-7.07,0.0756,0.204,5.13e-05,0.443,0.635,111.487,37vVp2sWHuuIBOSl1NswP6,145668
0.7,0.748,-8.16,0.0771,0.226,0.796,0.104,0.154,130.056,2lWc1iJlz2NVcStV5fbtPG,158761
0.811,0.781,-6.333,0.0428,0.376,0.001,0.121,0.824,107.007,6hgoYQDUcPyCz7LcTUHKxa,219813
0.574,0.469,-8.209,0.0254,0.534,9.21e-05,0.128,0.288,132.023,78Sw5GDo6AlGwTwanjXbGh,242485
0.644,0.735,-5.747,0.0391,0.0521,0.144,0.161,0.418,88.98,1Qrg8KqiBpW07V7PNxwwwL,153947
0.582,0.767,-11.38,0.0297,0.288,0.0789,0.0606,0.736,141.683,3EEd6ldsPat620GVYMEhOP,186038
0.739,0.682,-5.121,0.0972,0.417,3.95e-05,0.105,0.476,94.048,5S8i9p2xS8M8pFqfZMbMzI,186723
0.641,0.752,-9.466,0.096,0.0884,2.1e-05,0.16,0.477,100.152,1eDVvuPpEEe90AyANLKJGm,172544
0.945,0.759,-5.971,0.0865,0.231,0.651,0.0989,0.688,127.024,7udjTmsTZqdB1xLOHGJ8dM,169606
0.684,0.607,-8.127,0.1,0.0267,0.000307,0.191,0.498,81.001,0JXXNGljqupsJaZsgSbMZV,195373
0.765,0.683,-5.301,0.0625,0.226,0.0,0.108,0.536,137.02,1ULnQ2yn5LeQX4LrROm1RD,225306
0.694,0.611,-7.753,0.0544,0.134,0.0,0.122,0.253,125.15,6hd1qFV2nSAOeFprnZbHGp,190080
0.588,0.496,-5.947,0.0417,0.00166,0.936,0.186,0.582,128.001,7mLWNwcvwRdEviz6SfYp8A,146274
0.566,0.366,-12.808,0.028,0.113,0.181,0.155,0.237,129.96,6IPwKM3fUUzlElbvKw2sKl,184154
0.73,0.785,-6.512,0.0554,0.0464,0.0216,0.111,0.649,94.094,1N8TTK1Uoy7UvQNUazfUt5,147875
0.647,0.514,-10.05,0.0593,0.0655,0.0,0.398,0.386,79.975,1DIXPcTDzTj8ZMHt3PDt8p,240693
0.675,0.408,-10.861,0.142,0.901,0.000714,0.16,0.229,90.111,0mr8FAnN9X70p5KRUwMIJx,121375
0.714,0.472,-7.375,0.0864,0.013,4.51e-06,0.266,0.238,131.121,3nqQXoyQOWXiESFLlDF1hG,156943
0.653,0.474,-10.899,0.103,0.312,6.65e-06,0.119,0.361,85.024,31mzt4ZV8C0f52pIz1NSwd,135529
0.794,0.811,-8.966,0.038,0.0426,1.07e-06,0.101,0.862,116.047,2Foc5Q5nqNiosCNqttzHof,248413
0.561,0.965,-3.673,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,4uUG5RXrOk84mYEfFvj3cK,175238
0.587,0.742,-6.64,0.0529,0.0128,0.00107,0.146,0.199,145.007,73vIOb4Q7YN6HeJTbscRx5,206000
0.726,0.544,-4.44,0.229,0.44,3.56e-05,0.124,0.613,178.117,3LWay44eeYFEh27Gf1UA7J,204827
0.735,0.883,-5.969,0.122,0.00888,0.00186,0.158,0.554,76.982,5Ht48BadOqg22f3lWQLLa8,165227
0.838,0.525,-3.562,0.0665,0.345,1.92e-06,0.0771,0.884,144.981,0QHEIqNKsMoOY5urbzN48u,134256
0.604,0.601,-7.887,0.0628,0.15,0.000579,0.168,0.156,139.88,5Zlb01Jcn0Ld49zazzZJSB,164629
0.612,0.807,-2.81,0.0336,0.0495,0.0177,0.101,0.398,124.053,2QjOHCTQ1Jl3zawyYOpxh6,240400
0.876,0.498,-7.511,0.0478,0.0706,0.0,0.143,0.428,122.016,31i56LZnwE6uSu3exoHjtB,173119
0.566,0.664,-5.303,0.0464,0.634,0.0,0.116,0.437,128.945,1CS7Sd1u5tWkstBhpssyjP,241693
0.773,0.742,-3.678,0.046,0.0206,0.0,0.0754,0.571,114.071,0HqZX76SFLDz2aW8aiqi7G,165265
0.686,0.494,-7.093,0.0355,0.613,5.8e-05,0.402,0.7,168.946,4k6Uh1HXdhtusDW5y8Gbvy,232067
0.571,0.544,-10.613,0.0299,0.453,0.00805,0.322,0.216,132.052,1xK59OXxi2TAAAbmZK0kBL,132631
0.764,0.705,-5.279,0.0278,0.0371,1.94e-05,0.0943,0.672,101.003,0y60itmpH0aPKsFiGxmtnh,196520
0.791,0.862,-3.24,0.11,0.037,2.19e-05,0.0814,0.592,123.994,7ef4DlsgrMEH11cDZd32M6,214847
0.579,0.596,-4.823,0.0561,0.436,0.0938,0.0549,0.443,119.9,4gvrJnKCKIPiacNsWVQwEU,188369
0.715,0.689,-8.065,0.029,0.0143,0.000192,0.111,0.852,111.504,4z7maGZkAonDlXlwo8q69f,331333
0.82,0.357,-13.585,0.0437,0.0371,0.00452,0.0541,0.765,124.117,7jwQlYGpOml9ETGre1HqGA,298867
0.594,0.527,-9.335,0.0335,0.121,0.0,0.234,0.692,172.712,23Lyy7ZXRvzfgH4JtDkKrX,194019
0.645,0.779,-10.529,0.0315,0.000165,0.214,0.0941,0.453,120.007,4QAKfScH8kLJTbJqhb2jp2,229573
0.716,0.785,-3.926,0.0534,0.0243,0.0,0.0638,0.154,127.957,3nDNXKBb5fRTuQXpeowWTT,275213
0.784,0.572,-9.853,0.0573,0.0748,0.843,0.139,0.209,96.181,3CLSHJv5aUROAN2vfOyCOh,132346
0.593,0.641,-12.727,0.0992,0.426,0.901,0.122,0.147,175.014,2ksyzVfU0WJoBpu8otr4pz,142839
0.809,0.649,-4.433,0.0416,0.0407,0.0,0.145,0.72,120.014,7gwT3HGL84vF7bgtwL1N88,198520
0.565,0.636,-8.198,0.0638,0.107,9.9e-06,0.447,0.525,170.01,76OGwb5RA9h4FxQPT33ekc,179551
0.684,0.247,-13.71,0.0281,0.872,0.000166,0.113,0.768,106.522,7caj6X6NMX3tlhWnu1du6V,116627
0.671,0.673,-6.941,0.0444,0.148,5.29e-05,0.304,0.494,121.963,1SOClUWhOi8vHZYMz3GluK,237720
0.815,0.848,-4.704,0.115,0.023,0.000162,0.0265,0.684,106.032,1uMHCAyGmHqyygoNRuo7MV,133707
0.548,0.996,-2.169,0.112,0.0284,0.92,0.595,0.893,94.999,0iUrxveyNUBfj0cqjYEijt,265263
0.716,0.748,-6.06,0.0356,0.235,0.849,0.114,0.338,119.918,01kfSdF9zfcDLri5sSWEoL,169245
0.596,0.947,-3.225,0.0547,0.00321,3.78e-05,0.0897,0.487,102.238,1XvfncS1t4BNkh37klHeqj,132853
0.768,0.858,-4.629,0.0767,0.0144,0.861,0.0829,0.522,143.56,5MNfAmHvsqOliIxtwiFzsz,108672
0.4,0.479,-7.989,0.0308,0.0529,2.14e-06,0.115,0.213,166.159,1Fid2jjqsHViMX6xNH70hE,229173
0.411,0.547,-4.815,0.0706,0.66,0.0,0.078,0.552,128.44,0T2zPVlS2Oyy0BXlmvYKTe,120157
0.52,0.731,-5.338,0.0557,0.342,0.00101,0.311,0.662,173.93,4LRPiXqCikLlN15c3yImP7,167303
0.309,0.883,-3.825,0.0808,0.0673,0.00111,0.0849,0.312,159.488,0sTlGEld0h8kIPZaKDYUf4,195121
0.728,0.783,-4.424,0.266,0.237,0.0,0.434,0.555,77.011,1r9xUipOqoNwggBpENDsvJ,173381
0.601,0.712,-9.433,0.0436,0.0848,0.0,0.461,0.389,114.97,7v3rmoy5jcn4h5UqwQyCM3,154000
0.836,0.743,-6.305,0.0656,0.0995,0.0,0.335,0.722,108.966,1PckUlxKqWQs3RlWXVBLw3,191822
0.766,0.74,-10.363,0.0807,0.0193,0.0784,0.229,0.183,118.008,0Fs9cdPDhptWEDJmiCbkEW,296520
0.801,0.475,-8.797,0.0516,0.141,1.73e-05,0.0639,0.234,98.047,5Eax0qFko2dh7Rl2lYs3bx,213061
0.676,0.703,-5.815,0.0302,0.0869,0.000687,0.0463,0.852,92.761,1foMv2HQwfQ2vntFf9HFeG,200173
0.768,0.714,-5.11,0.0401,0.352,0.0,0.15,0.842,131.443,4h4QlmocP3IuwYEj2j14p8,163026
0.78,0.689,-5.668,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,1xzi1Jcr7mEi9K2RfzLOqS,225389
