danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.52,0.731,-5.338,0.0557,0.342,0.00101,0.311,0.662,173.93,4LRPiXqCikLlN15c3yImP7,167303
0.708,0.141,-12.876,0.0551,0.913,0.000578,0.113,0.554,117.76,2QOWWawJs7RLfttH4BXPXa,157691
0.351,0.296,-10.109,0.0333,0.934,0.0,0.095,0.12,115.284,0u2P5u6lvoDfwTYjAADbn4,200186
0.762,0.608,-6.344,0.0399,0.073,6.59e-05,0.595,0.686,87.985,2cyFoye18xtRTd13CEzH9D,186832
0.472,0.518,-7.379,0.051,0.383,0.127,0.289,0.154,147.805,26hOm7dTtBi0TdpDGl141t,211667
0.357,0.425,-7.301,0.0333,0.584,0.0,0.322,0.27,102.078,4xqrdfXkTW4T0RauPLv3WA,198040
0.561,0.431,-8.81,0.0578,0.768,1.42e-05,0.106,0.137,143.875,5wANPM4fQCJwkGd4rN57mH,242013
0.562,0.309,-7.486,0.0475,0.822,0.0,0.344,0.497,138.472,2f8sB9lQ6Uh1lKKWJNR9rW,267272
0.614,0.379,-10.48,0.0476,0.607,0.000464,0.0986,0.201,107.989,1HNkqx9Ahdgi1Ixy2xkKkL,258987
0.406,0.418,-6.302,0.0366,0.551,0.0,0.0737,0.468,126.264,1caKQ2Nqtr1eoczaB83cUz,144428
0.604,0.366,-7.519,0.0282,0.578,0.0,0.133,0.13,141.981,0gplL1WMoJ6iYaPgMCL0gX,224695
0.667,0.287,-9.718,0.0334,0.769,3.61e-06,0.106,0.545,127.981,5wWxUdgn2OugIOvLJOdreH,279213
0.566,0.366,-12.808,0.028,0.113,0.181,0.155,0.237,129.96,6IPwKM3fUUzlElbvKw2sKl,184154
0.784,0.689,-8.216,0.0385,0.759,0.00536,0.143,0.332,124.025,0z5yLgBmAtaylDYrgwzlpH,205716
0.567,0.267,-6.502,0.0299,0.839,1.46e-06,0.089,0.0592,110.011,1ZMiCix7XSAbfAJlEZWMCp,240133
0.654,0.354,-7.358,0.0738,0.724,0.0,0.134,0.262,81.956,2x8oBuYaObjqHqgGuIUZ0b,183547
0.453,0.673,-5.649,0.144,0.32,0.0,0.131,0.266,92.06,1UdzJEpgJxtuXAlCOvD4S0,159849
0.68,0.321,-10.944,0.0376,0.791,4.67e-06,0.125,0.416,110.827,6aommJFM8i3iT4inKuDSXh,215986
0.588,0.452,-4.75,0.0268,0.437,0.0,0.344,0.734,139.953,0UXlu64mDLvfzR8IXMz06J,185723
0.622,0.117,-10.055,0.0382,0.969,0.0,0.0871,0.315,120.984,4brw4anhV4og38Rv6o1dBa,242447
0.255,0.393,-10.654,0.0278,0.0577,0.00361,0.113,0.118,76.426,10nyNJ6zNy2YVYLrcwLccB,229120
0.801,0.401,-8.082,0.0491,0.909,0.0,0.158,0.595,126.455,6ohTBTmcNHe9UzvxAgA9wJ,124590
0.188,0.411,-9.733,0.0484,0.174,0.153,0.0843,0.159,187.376,0NlGoUyOJSuSHmngoibVAs,305747
0.503,0.496,-9.123,0.0556,0.693,0.0,0.123,0.412,187.844,18HOjcvTVV7W8YzBuOsAPS,148143
0.516,0.595,-4.63,0.0313,0.0275,0.0,0.109,0.222,119.972,5Ohxk2dO5COHF1krpoPigN,340707
0.516,0.467,-6.184,0.0302,0.662,0.0,0.0853,0.386,132.861,5WtfUKzXircvW8l5aaVZWT,173307
0.39,0.499,-7.778,0.0381,0.632,0.000497,0.115,0.34,200.156,3NqBxTOMCJ3zW9CIP51td4,275194
0.577,0.363,-12.378,0.0263,0.86,0.000282,0.0868,0.265,91.511,75UMtPC77vqKRwfSuYuNPO,247197
0.83,0.159,-14.461,0.0383,0.946,2.02e-05,0.362,0.189,104.95,0akyEssGRVHstqCSWXusJL,207400
0.398,0.286,-11.881,0.033,0.616,0.000146,0.0912,0.0666,78.262,2KnLkZ3z7PO3kgVGHGqDpD,222800
0.545,0.366,-9.51,0.0378,0.969,0.267,0.641,0.1,86.997,0QZ5yyl6B6utIWkxeBDxQN,208212
0.331,0.341,-6.057,0.0309,0.528,0.0,0.109,0.152,109.821,7B5Npv8NjjTCzk8PLpU66h,285935
0.473,0.657,-6.278,0.024,0.0454,2.41e-06,0.068,0.294,74.996,3hbTkJ0yFzHbawnKyhvTQj,224973
0.408,0.47,-10.149,0.0893,0.666,5.44e-05,0.0926,0.0953,51.66,4lUsBLTAiufWocWtg4H0my,234613
0.544,0.216,-17.237,0.0402,0.922,0.311,0.112,0.145,75.004,7dT9D6117e5DbhnKxDLNW9,235471
