danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.194,0.0126,-32.848,0.0406,0.969,0.925,0.105,0.0478,67.751,3kv3rN2ODEKUXav5prNo0D,188750
0.132,0.00735,-37.541,0.0494,0.953,0.864,0.103,0.0564,73.273,6oL6yOWVL8zJfwg2mlkMag,178500
0.106,0.0107,-32.192,0.0393,0.988,0.937,0.107,0.0389,70.911,7pSiVCrdIbpIvn8oNH3XPY,236259
0.0732,0.0153,-32.117,0.0438,0.986,0.969,0.0928,0.0391,76.86,1dzuUe9zsLpy2Ly7Zp2dWD,179388
0.121,0.0237,-31.498,0.0412,0.909,0.934,0.101,0.0538,78.89,0Uz8UHO1PM5sh2XwRLfuRD,210173
0.158,0.0258,-31.006,0.0362,0.989,0.975,0.0626,0.0385,136.202,3WvLmahT84IZwXfK5S8cIb,137455
0.288,0.00197,-37.953,0.0365,0.994,0.844,0.087,0.0829,70.82,2z3jtBK8vqwNIVQpN3lO78,152000
0.14,0.00459,-33.389,0.0406,0.993,0.778,0.118,0.122,69.817,5pmzx6GPMdYemqSxu3OSzi,189939
0.103,0.00338,-36.361,0.0396,0.685,0.85,0.115,0.0399,80.934,5KLneBT09UJRMHrCvPCQe0,229919
0.175,0.0108,-35.572,0.0529,0.992,0.484,0.112,0.0742,143.693,0n8IZnobhLxdjk02TtAnQj,156367
0.0775,0.013,-40.14,0.0385,0.958,0.96,0.123,0.0807,176.071,0RnPPtolUwGGofZqmjQWkr,148500
0.0634,0.00558,-38.382,0.0409,0.953,0.929,0.107,0.117,61.192,0oWESCZ7b4nD5TGa41pUPd,146000
0.162,0.00114,-42.538,0.0426,0.978,0.967,0.0908,0.1,70.14,6UpAsgiZxheIKD0mAP0RB9,192500
0.0587,0.00318,-39.165,0.0446,0.953,0.802,0.109,0.0507,59.57,31eJBMnqWEXV3V1YyjP8RT,170263
0.23,0.00315,-39.592,0.0395,0.991,0.957,0.106,0.0572,69.725,7p3bUYxhfjZzNt2CmDW4uT,157463
0.165,0.0277,-33.119,0.0486,0.888,0.704,0.0977,0.0353,62.181,4qrNoVMU8gN61AQqU3e13U,181800
0.203,0.00617,-37.171,0.0436,0.897,0.78,0.105,0.151,70.418,7seUboMUYcCSjiuWfHRqkR,177391
0.194,0.00625,-38.955,0.0429,0.989,0.819,0.122,0.0528,69.414,4WBSK6p3BjyUJQ0hmyKdQM,171000
0.182,0.0246,-32.801,0.0336,0.915,0.913,0.0974,0.0374,68.294,6rMM5c330kAz3wKRmH4IRn,153464
0.118,0.0049,-39.751,0.0422,0.995,0.837,0.092,0.0387,71.52,7LXscZffE8LUyJ4tn43RZa,219900
0.148,0.0357,-33.633,0.0412,0.946,0.864,0.0843,0.0353,139.072,11UZcELqU0dAiNLD3MboDh,125074
0.217,0.00971,-32.177,0.0404,0.983,0.856,0.106,0.175,74.213,0th3A703YVssZCiPxdj07r,155625
0.098,0.00363,-34.54,0.0415,0.992,0.926,0.0744,0.071,76.839,4RlPG34EWDZRfQpOFXIr5a,182579
0.132,0.0028,-34.856,0.0559,0.975,0.57,0.0948,0.0351,69.283,4rnHitehqGrHlgr8TiTMYX,161885
0.127,0.00488,-35.14,0.0478,0.977,0.828,0.115,0.136,146.626,7k59hF8Vc7Ob9HYO8fnbLF,179222
0.0673,0.0029,-38.504,0.0421,0.971,0.842,0.108,0.0479,73.359,1YvgFUa5OxOw8z9GZQQLHR,147089
0.156,0.0142,-35.955,0.0514,0.888,0.952,0.131,0.0647,134.37,0eoulivlbUiUsqDfj4axvM,168000
0.179,0.0018,-39.38,0.063,0.996,0.829,0.0791,0.043,123.697,2B1Tx8yV3jAJqQXxR8B1An,126331
0.148,0.0109,-36.403,0.0432,0.978,0.935,0.109,0.0426,72.416,1uGy4uNI3SeVUien40Dtzo,209250
0.0751,0.00742,-35.548,0.0419,0.992,0.879,0.0954,0.059,177.628,04QbFy5NlBOJVvQEGlRwsm,179750
0.266,0.022,-32.789,0.0387,0.883,0.622,0.105,0.153,67.983,3d1399HgDr0DSrnmd2EUIx,182647
0.191,0.00701,-30.293,0.0493,0.871,0.955,0.11,0.31,88.955,4YnBnr9owZndTD3zmR5Whp,148943
0.198,0.0249,-30.46,0.0424,0.911,0.848,0.117,0.0316,134.004,2rSORoj8GOo8vB8Iz2zsSA,147000
0.162,0.0289,-32.379,0.0397,0.991,0.842,0.0734,0.0942,134.442,6dp53x1hi7iUSHsBI8oPMz,249000
0.0743,0.0107,-34.703,0.0406,0.97,0.983,0.07,0.19,78.402,4JpT0U9BGC5uZtMcSaBUwH,169325
0.168,0.0113,-32.354,0.0385,0.956,0.698,0.113,0.1,70.421,1VSbOfZgq1QvuSg8s7F0tZ,192000
0.153,0.00826,-40.069,0.0377,0.988,0.892,0.0912,0.102,136.058,57LIE4xGtrUqicdDiikdMp,176455
0.133,0.0238,-34.081,0.0482,0.984,0.797,0.0968,0.0973,75.7,78HCy9rFb20PwAJvk9Tv73,169426
0.148,0.0501,-36.576,0.0408,0.985,0.907,0.147,0.0359,144.223,5lSPw2NndV5W0jQ4TeM3Z4,179086
0.0864,0.00722,-34.939,0.0392,0.959,0.888,0.0875,0.0441,84.865,3YsadWxIYFPZY3D4LmXqZO,173106
0.112,0.000642,-35.04,0.0429,0.965,0.837,0.108,0.0356,88.188,3MGCNZbekjphNk5SKVCdme,155781
0.0697,0.00166,-35.903,0.0457,0.971,0.875,0.117,0.119,77.445,7ofIUuvWCuvoaFvlFYZ81d,154498
0.166,0.0161,-32.47,0.0422,0.979,0.727,0.0897,0.0586,129.208,1p6B2W8oxPhLhkY9baZbi5,129265
0.16,0.00684,-30.05,0.0403,0.902,0.898,0.101,0.0503,75.628,4EaHb0wumMJODjK2vsoqTI,159893
0.147,0.0154,-33.343,0.037,0.992,0.925,0.0806,0.0371,138.96,4iIxW6p4FAFjBV8L14hQfC,201146
0.172,0.0201,-32.532,0.0431,0.957,0.885,0.111,0.0585,118.797,6fAmC1bZzVgA9E5gNrdy5k,170400
0.185,0.00724,-38.573,0.0461,0.964,0.796,0.0919,0.0381,69.274,6xNDVglPOwn9YXDyCt33lS,167586
0.177,0.0144,-35.892,0.0405,0.788,0.684,0.126,0.11,72.597,2caSMfpQAY2wTvb3kgYirk,133065
0.192,0.0172,-32.202,0.0476,0.971,0.875,0.0996,0.0912,73.985,1kY64LDhpgy30XGXj5c7Qa,201566
0.197,0.00494,-29.741,0.0457,0.985,0.921,0.106,0.0959,124.918,7mop8SiZz46KwraJSoiLVU,208592
0.14,0.00354,-38.668,0.0627,0.85,0.877,0.101,0.0365,139.818,3ztpmZj6p47tlck3NVQrV7,199200
0.173,0.0368,-31.952,0.0391,0.991,0.97,0.0999,0.0399,71.033,1tibAYEBfrBcPxJIZe2lMJ,185854
0.137,0.00245,-36.218,0.0506,0.966,0.798,0.113,0.0389,141.251,5awXJ7gr2qnEBIUmWieewJ,173547
0.149,0.00901,-33.545,0.0363,0.989,0.909,0.0924,0.0395,65.115,3KDUPdVPn8GTeqWo90MEIs,156949
0.0988,0.0555,-32.446,0.0424,0.854,0.69,0.0916,0.11,175.616,3EcvMo6Td4Kuv05GMNXZrs,168111
0.183,0.0165,-30.988,0.0419,0.94,0.941,0.0979,0.0399,70.065,5SpWWXLR52XCIw8J355D7t,149170
0.196,0.0684,-28.655,0.0569,0.905,0.91,0.0998,0.25,138.854,3Vo0VwSMPICUf7rLnmyEEv,135755
0.155,0.0127,-34.475,0.0374,0.971,0.903,0.09,0.149,78.142,1BMgyrYXHolIe6e0oU9OqQ,186810
0.1,0.051,-26.779,0.0327,0.953,0.84,0.106,0.0381,71.281,443TEc8oLlWuKBRVQm3DDC,208000
0.156,0.0126,-31.691,0.0479,0.943,0.639,0.0996,0.0397,140.392,2f7wOcyVJUtt9Z6jz8txDN,178500
0.209,0.042,-28.545,0.0385,0.912,0.905,0.118,0.118,65.171,4trb0luHXNU6Q5UrHE4DpV,142222
0.146,0.00203,-37.697,0.0395,0.989,0.868,0.0951,0.063,67.895,22vY259m2QQnjxjhW3cabS,115186
0.11,0.00366,-41.748,0.0392,0.994,0.9,0.123,0.106,67.901,1kw7n9ACTz07NuIYqCm3F9,185707
0.0833,0.0137,-32.386,0.0448,0.984,0.819,0.107,0.0576,172.18,2ltLj6TQczrt4tbWmKE8EP,187200
0.18,0.0187,-31.807,0.044,0.969,0.916,0.128,0.0339,71.135,1IkrL2wE6aWYzOmWjZmNO9,138857
0.0657,0.01,-34.52,0.0449,0.991,0.764,0.104,0.0472,66.705,3xLHdlKxeLiEqWy7BdYYze,124242
0.25,0.024,-33.524,0.0339,0.943,0.777,0.109,0.039,67.142,3Fo0yfu7owI9okMGgQZtbm,159000
0.152,0.00735,-35.874,0.0439,0.972,0.55,0.111,0.0375,136.032,0KJVIy0PAoldzsrzC96b8d,156975
0.0698,0.00983,-34.321,0.0381,0.952,0.829,0.0885,0.0318,65.662,5zIMS6F6nMXAl4Jt1xu39L,218020
0.195,0.0481,-29.63,0.0562,0.931,0.877,0.105,0.102,136.732,0tzo8lb0ghQsazQTkmUtss,150100
0.0659,0.00749,-36.396,0.0487,0.986,0.777,0.111,0.0496,69.792,2J3PRFCSCcuyHY4Dfi4hbh,185698
0.158,0.026,-31.371,0.0409,0.955,0.966,0.104,0.0312,83.068,6naPrrjFyKhyqMlbx1dODu,198667
0.162,0.0744,-28.775,0.0359,0.914,0.82,0.092,0.0406,75.978,47m7taVhh1ktgczbtWmbnG,163000
0.138,0.00536,-36.076,0.0464,0.979,0.651,0.11,0.0375,142.226,7HTqClPkU89EhgJi2CO3G5,124814
0.102,0.0238,-30.575,0.0404,0.981,0.943,0.175,0.0393,91.031,3Ac6RvFQVb4TMY4rjGLS2Y,201000
0.0983,0.00486,-36.47,0.0455,0.987,0.747,0.11,0.0371,65.583,6nxvSAvwbVJIK4CaAjwA5N,190500
0.0786,0.018,-32.978,0.0411,0.993,0.932,0.0776,0.143,67.09,0gEnOiu5WgBs0W9XWwSV21,228603
0.186,0.0123,-34.008,0.0442,0.934,0.942,0.112,0.0533,64.416,4eoA6gqXBqpCuCemOineDh,201663
0.107,0.00716,-33.293,0.0489,0.884,0.942,0.111,0.0317,91.797,2sNM2lnVgJmPJVQcxtktia,210000
0.152,0.0179,-34.777,0.038,0.913,0.682,0.0976,0.0384,136.583,07FdbSr9DEzo8QjEcHB7XD,136055
0.0859,0.00325,-37.431,0.0472,0.986,0.817,0.0983,0.0373,84.679,5cVKlN0vdJiXiwc3F4HcYX,211387
0.204,0.0214,-36.063,0.0348,0.874,0.785,0.105,0.0375,70.485,10UEnZDKuuAuQitOyVhS6Y,144422
0.257,0.00715,-34.021,0.0465,0.98,0.815,0.103,0.0357,76.553,3thLpLQoMsbwCMhi26cwPs,119000
0.167,0.0418,-32.851,0.0427,0.814,0.838,0.111,0.048,129.534,5L3CbldRc36fjCzTb9ttuj,197513
0.212,0.0771,-28.135,0.0547,0.988,0.874,0.111,0.0387,67.145,2mPQlLpYdr2HFROOunOKH4,162500
0.164,0.0417,-32.357,0.0372,0.845,0.912,0.108,0.13,69.738,4KTCqhkTkLafpaFgvMrcRO,153600
0.139,0.0258,-31.606,0.0384,0.943,0.742,0.102,0.0431,141.194,5NeVNbd1n8nNSNbNxUsAzL,209208
0.143,0.0524,-27.569,0.0369,0.852,0.837,0.0858,0.0488,74.362,3uIPfiXaSWfiuLsaZ6UkQX,240185
0.207,0.0165,-31.311,0.037,0.981,0.91,0.0996,0.101,72.318,61LzaoAvJFI2N1qZKjWEfG,162000
0.202,0.00596,-36.114,0.0441,0.978,0.841,0.112,0.0563,70.536,1YYNXuP0ILEv1f0fBgiTua,139000
