danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.813,0.496,-11.958,0.234,0.126,0.00717,0.371,0.385,95.99,4GL8hK0rhcjCrJQx0x6WEx,161500
0.346,0.126,-16.89,0.0347,0.985,0.463,0.0771,0.0761,92.959,1GTC0DN9LGOdP0NdvoHyX7,315640
0.81,0.33,-8.867,0.135,0.621,0.0343,0.105,0.548,110.15,41soii7TsX2M2AIAAOsNh5,181227
0.785,0.35,-11.286,0.0446,0.382,0.512,0.169,0.361,123.001,4oQbpxHDWMSQ4HVEhoYCFD,230867
0.514,0.305,-11.26,0.031,0.747,1.58e-05,0.165,0.336,49.534,3X3cftpXwcSXQM4fC5ihdo,152141
0.805,0.569,-9.346,0.028,0.499,0.723,0.0977,0.758,121.03,2DuhJLdMNSskrd2KF8SRMr,227486
0.652,0.222,-14.699,0.049,0.926,1.44e-06,0.125,0.192,117.322,6GiwLIxSRc3bEBaLj2RPjK,196766
0.597,0.378,-12.258,0.0384,0.529,0.427,0.117,0.0958,104.125,7hWC4zYwslDtvnTCqhzW0S,187788
0.757,0.393,-7.942,0.212,0.788,0.000986,0.0501,0.715,77.985,7fyVBKYJYMP42nNr9RFTAT,181623
0.606,0.581,-7.588,0.0357,0.56,0.00643,0.118,0.252,126.92,5ktGBmi2zJOqcoVxxuzmcD,173858
0.666,0.914,-6.031,0.0724,0.089,0.0175,0.0653,0.56,151.96,2d7ROIV6XJOehN3b6jBnfO,140880
0.576,0.337,-15.169,0.0351,0.902,0.874,0.108,0.327,113.669,36gUdwmMhZXcwOSaUkTPty,208000
0.538,0.521,-7.061,0.0856,0.0576,0.0,0.471,0.397,74.825,6QkOMriITXf0oqpga33HnP,89617
0.26,0.0449,-23.828,0.0364,0.954,0.88,0.111,0.244,164.195,6aMk9gUq9pjZgmjsAm3FjS,60000
0.721,0.488,-5.324,0.0875,0.816,0.000296,0.0709,0.522,137.935,0wjkGB4cICc48iBCWbwr6t,210600
0.54,0.308,-14.567,0.0453,0.909,0.0566,0.11,0.136,143.603,7a7gUCiBV0dgXziowAlR96,190000
0.483,0.129,-20.149,0.0349,0.947,0.145,0.106,0.203,137.35,51Grh1RyUDcMBbpuyUIUHI,161929
0.432,0.138,-19.788,0.049,0.94,0.0243,0.129,0.103,81.765,4QnkWi5jg50ZVkzBB3PZ4e,326157
0.314,0.286,-12.651,0.0329,0.742,0.244,0.133,0.216,170.02,2gAUlTl69mEyEAANQc4gwO,343013
0.806,0.277,-14.927,0.0439,0.765,0.874,0.12,0.558,141.903,7lKN7pik3CelVWHWGp6DfB,247616
0.539,0.447,-9.338,0.0376,0.439,0.174,0.0768,0.239,127.594,4AdD9JhtqFrMXrSXOQ2MGT,205890
0.723,0.593,-6.607,0.037,0.123,0.000734,0.126,0.874,120.052,6OBQJkM9RtQXcYL26Az2Pg,200000
0.457,0.26,-14.165,0.0333,0.89,0.000875,0.0963,0.29,144.127,6TJjw5TFQIcUPXhSPojreM,289045
0.564,0.472,-10.59,0.03,0.89,0.207,0.101,0.594,111.029,30bLh2OQSfIvDpdu8ckzRg,141480
0.653,0.442,-11.727,0.0337,0.522,0.699,0.107,0.363,109.971,5g5XvfePSypMK6eiVL6BI7,234174
0.591,0.376,-10.832,0.0543,0.478,0.0282,0.101,0.308,140.026,1IqF5PUDUnaykHLs0RWbDO,273864
