danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.0587,0.00318,-39.165,0.0446,0.953,0.802,0.109,0.0507,59.57,31eJBMnqWEXV3V1YyjP8RT,170263
0.0831,0.00171,-46.049,0.041,0.982,0.905,0.0869,0.105,78.466,2iU9lxQ5XbDn1TVYVl2ciQ,190500
0.223,0.0187,-37.936,0.0379,0.965,0.88,0.107,0.0391,69.354,7EZKkc9CWvBoB52E2g2rFP,167887
0.194,0.00625,-38.955,0.0429,0.989,0.819,0.122,0.0528,69.414,4WBSK6p3BjyUJQ0hmyKdQM,171000
0.141,0.00189,-38.133,0.0505,0.886,0.965,0.112,0.0339,138.008,0midUtkfJN36sYHv3eVWYj,183226
0.226,0.0215,-31.618,0.0603,0.995,0.977,0.0943,0.0427,132.564,7mZASnos1MVmNVLHHg7nPJ,174699
0.0611,0.00543,-36.803,0.0535,0.945,0.739,0.11,0.0871,71.876,15SJMsBLp7GR8FH9WvamuG,213979
0.178,0.00404,-37.494,0.0508,0.989,0.886,0.115,0.0364,71.615,1pAKUFLp8gtOrAAPwkFYJ0,199107
0.176,0.00297,-35.687,0.0454,0.994,0.943,0.117,0.0392,70.342,08ZVl6IBiPemNOsVfkoIyv,168181
0.147,0.0302,-32.232,0.0446,0.915,0.56,0.107,0.0306,137.792,4fVgnrnaUs163eRqVEsh8D,161700
0.0802,0.00496,-34.55,0.0444,0.896,0.861,0.101,0.137,82.884,18ZduE8dvitDNwas6MkmhR,177667
0.148,0.0338,-29.742,0.0505,0.891,0.714,0.0903,0.0322,138.503,1xbfnRa7qVtoLWqr0xDljM,154091
0.152,0.0061,-37.313,0.0522,0.949,0.754,0.115,0.034,135.172,2FjdJ4hXRC6rrKD1zNGHqZ,193778
0.15,0.00401,-44.888,0.043,0.993,0.897,0.0801,0.197,138.576,5X3UiiOUn1REPps2Gq4Cv2,208000
0.149,0.0498,-34.233,0.0502,0.84,0.905,0.104,0.0966,138.327,0kuBMsyIEjgPEvxumcFUTV,156500
0.16,0.00302,-37.156,0.0459,0.98,0.697,0.0983,0.0353,72.231,5B7jFzHOJsESyrj7gMpwEQ,147429
0.16,0.00535,-38.272,0.0539,0.99,0.923,0.101,0.0299,133.867,5fy41aUyrZd4sHSFbq2fJQ,168000
0.167,0.00167,-43.188,0.0431,0.972,0.909,0.133,0.152,69.0,1WnP7YURgLOv4OC588Q5Jq,216500
0.192,0.0065,-33.421,0.0425,0.993,0.972,0.0882,0.0413,64.613,3e1SIAaOU2ai7MGF77qxUi,135200
0.166,0.00271,-35.344,0.049,0.968,0.922,0.11,0.074,71.569,4TbaG2d0oHVSL5WWHr3paT,138667
0.142,0.0126,-36.191,0.0465,0.982,0.755,0.129,0.0389,141.203,41Fp3VZmyloxKUUcWDUrH2,236583
0.192,0.031,-33.731,0.0418,0.907,0.885,0.0947,0.193,76.303,0eZzQlr30pDYx9us8zfVx5,139643
0.169,0.0381,-34.948,0.0409,0.237,0.665,0.111,0.1,124.396,2uUsM8gmp9HHToPcehe9Zl,199663
0.102,0.011,-33.773,0.0431,0.981,0.977,0.107,0.142,89.858,1hZwpsltD5RTHPhJTEz42U,198000
0.117,0.00257,-38.668,0.0471,0.981,0.859,0.164,0.0859,69.899,4XJGAjvpgN5K84TsrUoTHp,179394
0.236,0.0213,-29.86,0.0411,0.973,0.876,0.108,0.0314,67.502,5EKGc8AhERWLmIAZgph4rT,180091
0.0619,0.00326,-37.546,0.0485,0.977,0.88,0.126,0.122,62.436,3nTFwQs9Oxz1KEtZn0Q7AK,159643
0.0878,0.00185,-37.77,0.0503,0.973,0.857,0.123,0.0561,85.773,5F820xSuKiMLpGOV04Xs3c,174520
0.085,0.00375,-40.235,0.0407,0.959,0.945,0.138,0.125,169.154,3jQlNsMoO2C4NzwoBi9R6v,173500
0.0586,0.00278,-42.391,0.0567,0.934,0.961,0.12,0.0823,69.521,4vwpjrRemuLveDgtNqy5LP,159439
0.146,0.0171,-33.051,0.0537,0.983,0.802,0.0909,0.0849,139.613,5S3LrxbIBSqhf3tEGjNa8l,191727
0.148,0.0121,-37.836,0.0455,0.976,0.527,0.111,0.0378,138.615,4H7cke51KBunS0nfrjtu7Q,226500
0.182,0.0246,-32.801,0.0336,0.915,0.913,0.0974,0.0374,68.294,6rMM5c330kAz3wKRmH4IRn,153464
0.155,0.0374,-30.009,0.0542,0.994,0.951,0.109,0.0721,136.247,4kVJriKGhf4s47EnbfIloH,154424
0.179,0.00312,-35.1,0.0686,0.768,0.537,0.11,0.0326,127.394,4dXeSoH8k8iq8uQz2ZZZSK,207806
0.133,0.00498,-36.393,0.0402,0.971,0.825,0.12,0.0294,78.19,13mpwlabsVcm39rZTaHDjq,160120
0.133,0.00949,-37.135,0.052,0.935,0.891,0.102,0.0342,143.577,5G5T4D1uFd2mjhuM5O7bXu,195600
0.333,0.0144,-34.164,0.0582,0.995,0.869,0.0873,0.0376,135.621,7CoNMmP4XciExedSMAQkM4,134118
0.202,0.0336,-34.993,0.0488,0.949,0.643,0.0801,0.193,72.83,75UEjnA7EJ4ztlMANBW1dX,153261
0.189,0.00649,-31.638,0.0401,0.966,0.769,0.111,0.115,68.917,2774iv7rt5UytxvyYe4z4O,197192
0.0685,0.0142,-33.011,0.0449,0.957,0.708,0.0967,0.0527,72.71,1lfuL7h3owfL3hCiWE2EZK,159101
0.22,0.06,-28.805,0.0602,0.984,0.844,0.131,0.0388,73.69,0tgcnoBZDZWnZVqY6gWzDg,206523
0.137,0.00512,-36.106,0.0389,0.988,0.885,0.0969,0.0347,142.216,28BhahBC2qOpui6ryXoCev,168000
0.0635,0.031,-36.267,0.0432,0.984,0.669,0.142,0.0795,66.377,77J5YZNzyRlIfmfx1iYGRE,162000
0.179,0.0397,-25.96,0.0449,0.934,0.914,0.104,0.0363,75.238,2sYLvR1t37NbXZqRI7KS5a,159050
