danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.548,0.805,-5.732,0.351,0.212,0.000389,0.408,0.648,142.094,79s5XnCN4TJKTVMSmOx8Ep,216387
0.727,0.431,-12.007,0.395,0.0111,0.0166,0.506,0.223,150.005,6DB2KOEwHnjkgEnBt5SdeJ,257987
0.902,0.72,-2.776,0.347,0.26,0.0,0.0749,0.805,90.059,4RY96Asd9IefaL3X4LOLZ8,193467
0.789,0.858,-5.542,0.311,0.127,0.0,0.349,0.775,140.022,4Li2WHPkuyCdtmokzW2007,219333
0.692,0.744,-4.565,0.257,0.00868,0.000423,0.359,0.0612,171.374,5Z01UMMf7V1o0MzF86s6WJ,326467
0.719,0.648,-7.6,0.125,0.2,0.0,0.127,0.66,140.201,5vGLcdRuSbUhD8ScwsGSdA,123263
0.816,0.775,-3.323,0.234,0.16,0.00031,0.0543,0.527,93.431,503OTo2dSqe7qk76rgsbep,270587
0.854,0.569,-8.151,0.106,0.0609,0.0816,0.1,0.294,80.015,7ycWLEP1GsNjVvcjawXz3z,205040
0.537,0.948,-3.063,0.355,0.151,0.0,0.356,0.792,186.151,6RUpJeXT6U4SPEafnr9Wr7,286267
0.911,0.573,-7.43,0.288,0.38,0.0,0.403,0.972,140.04,3LtpKP5abr2qqjunvjlX5i,97393
0.841,0.732,-5.186,0.19,0.0115,2.18e-05,0.136,0.576,149.012,1tkipCYkIgti8f1tqjfcWe,143480
0.889,0.705,-8.683,0.392,0.389,1.04e-05,0.0692,0.815,141.069,3CVb6hkMrlF7eHhXi5B3PZ,183830
0.896,0.586,-6.687,0.0559,0.104,0.0,0.79,0.642,116.971,0nbXyq5TXYPCO7pr3N8S4I,196653
0.879,0.595,-2.936,0.0889,0.0152,0.0,0.391,0.355,125.994,69WMdZSqdQwFgLVpbMsZ2J,215227
0.834,0.73,-3.714,0.222,0.00513,0.0,0.124,0.446,155.008,2xLMifQCjDGFmkHkpNLD9h,312820
0.862,0.648,-7.401,0.251,0.0455,0.0,0.0332,0.637,98.012,4PmMVdIFpJTB9WQbmILf4p,235533
0.736,0.704,-7.409,0.0615,0.0203,0.0,0.0501,0.894,149.995,27NovPIUIRrOZoCHxABJwK,212000
0.946,0.483,-8.24,0.148,0.0117,3.49e-06,0.328,0.429,123.041,2PWVxWymGDZKj5BZJB7dAR,197381
0.638,0.523,-6.664,0.357,0.00454,0.0,0.0842,0.422,139.913,6HZILIRieu8S0iqY8kIKhj,185947
0.912,0.412,-8.074,0.123,0.0165,0.0126,0.104,0.423,154.983,0TlLq3lA83rQOYtrqBqSct,238614
0.707,0.786,-5.62,0.154,0.0138,2.18e-06,0.155,0.316,75.944,7B2jL3UDbYPXO4zE1WBXw7,162237
0.704,0.634,-9.17,0.167,0.00888,0.013,0.239,0.526,140.064,3FgahD27EJCxMHGcJJtAmM,226987
0.546,0.64,-5.582,0.37,0.0438,0.0,0.137,0.63,137.728,6LNoArVBBVZzUTUiAX2aKO,339250
0.817,0.625,-6.103,0.217,0.0251,1.18e-06,0.223,0.379,101.028,7ItXHU9yVm8AUkMyo4kffF,237624
0.65,0.801,-2.178,0.0694,0.117,0.000231,0.347,0.356,124.123,6E39QsoWB7JjphPF9xCQSN,268813
0.705,0.784,-6.477,0.271,0.0133,0.0,0.168,0.377,160.035,0E6PsO3ymCfUh7pJQjBgkj,264853
0.802,0.42,-10.088,0.13,0.229,1.87e-05,0.299,0.183,125.948,3TJTvFCoVZaWWTRuaIPkMl,154286
0.9,0.509,-6.647,0.257,0.115,1.67e-06,0.0937,0.765,100.007,27ZZdyTSQWI7Cug2d2PkqV,99283
0.841,0.358,-8.368,0.591,0.0201,0.0,0.39,0.329,158.014,34tz0eDhGuFErIuW3q4mPX,261544
0.746,0.825,-4.666,0.169,0.0142,0.0107,0.121,0.584,152.914,5ubwXXOsH9bUhZsQ0Cybha,204150
0.83,0.675,-5.186,0.22,0.597,0.0,0.114,0.528,140.89,709MdyUol3Qfgcowmd7KV4,196940
0.669,0.925,-2.98,0.403,0.366,0.0,0.341,0.757,99.184,2XZqsIRtWvPjWxGg8ag6mp,178417
0.84,0.63,-5.671,0.0579,0.000502,0.00136,0.128,0.14,123.994,5R5UNKWsmMPpFq5JHK93Fw,240968
0.886,0.434,-12.106,0.403,0.101,1.22e-06,0.297,0.785,147.995,2NVXBBbO4xGO851zrMfCFi,136696
0.545,0.781,-3.616,0.185,0.0139,0.0,0.161,0.277,150.097,12PNcnMsjsZ3eHm62t8hiy,232507
0.664,0.654,-11.787,0.0554,0.17,5.79e-06,0.108,0.645,159.893,4QgwMcufi7B8W7nLs5aFMr,129071
0.815,0.742,-4.896,0.245,0.0579,0.0,0.345,0.584,137.036,2g3qKijfeHfDyM7Fmaoi5M,182533
0.823,0.636,-7.239,0.0612,0.0168,0.0,0.108,0.5,151.978,1a7tOEheXeaSNathZW4Gzk,205893
0.792,0.724,-2.992,0.273,0.22,1e-06,0.376,0.646,141.94,3d19P64cMd5IM6jGGwKcSS,175221
0.738,0.659,-2.398,0.17,0.0411,0.0,0.0681,0.488,148.007,31UJ8vd4JQc1JEa7TgcDSz,144730
0.79,0.67,-5.527,0.105,0.377,2.32e-06,0.119,0.408,139.956,0fX4oNGBWO3dSGUZcVdVV2,195950
0.819,0.651,-5.829,0.169,0.00639,0.0,0.122,0.501,139.957,3GdWfmQBiiJrDUvSZS1bGv,185786
0.698,0.847,-4.859,0.231,0.00315,0.0,0.216,0.234,175.016,5MsO7aTFKXvUy8ziyLZYOX,139091
0.785,0.609,-8.623,0.186,0.031,5.47e-05,0.096,0.326,83.962,5B40Td13cDQ4adeAiLf8Z4,148855
0.915,0.686,-6.094,0.092,0.0324,0.0,0.14,0.25,133.953,1gXOwyDr6zzIL6FHk5L9IJ,218414
