danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.414,0.245,-17.929,0.0429,0.952,0.761,0.104,0.132,97.236,6ZLt6fyonW1xOGMBC9vJPJ,130743
0.54,0.381,-14.323,0.0347,0.0217,0.000687,0.305,0.343,155.882,3h3pOvw6hjOvZxRUseB7h9,204991
0.732,0.413,-6.353,0.0702,0.287,0.0,0.0565,0.761,92.066,45StvejYUdIsyUwqdZ7iJM,154456
0.599,0.537,-7.625,0.0268,0.935,0.893,0.301,0.258,123.722,7ejeQLLLGjVriLS7cojERB,212750
0.608,0.305,-14.037,0.053,0.653,0.0,0.103,0.222,113.818,02tvc9CFnTyHuSRlGeNv9w,206975
0.764,0.705,-5.279,0.0278,0.0371,1.94e-05,0.0943,0.672,101.003,0y60itmpH0aPKsFiGxmtnh,196520
0.566,0.613,-10.118,0.0904,0.716,0.8,0.0848,0.218,110.886,4nsY0oW9IWBUqdoUXv1nUg,165672
0.81,0.266,-12.478,0.0407,0.56,1.05e-06,0.0962,0.212,130.041,2TI2fw9FWPeah6N4k1b4NU,226073
0.566,0.366,-12.808,0.028,0.113,0.181,0.155,0.237,129.959,1BYZxKSf0aTxp8ZFoeyM3d,184154
0.93,0.611,-4.406,0.0415,0.593,0.00124,0.0592,0.695,112.127,0KyAGiNGUytG5JLxJu4F6l,178352
0.541,0.208,-17.989,0.368,0.908,0.0,0.163,0.65,94.927,2h3Q3wDxLNfBh0yX8d3jib,184272
0.691,0.306,-15.651,0.0544,0.632,0.479,0.108,0.62,129.929,2zPcVDSpYNVKQ5c7jR7MXj,151693
0.744,0.845,-7.422,0.253,0.759,0.232,0.1,0.749,75.221,0SIAFU49FFHwR3QnT5Jx0k,160000
0.766,0.354,-9.486,0.0543,0.595,0.0,0.381,0.792,153.902,1tD8J13a74q8fBqXwAP50j,126464
0.509,0.0167,-24.639,0.115,0.979,2.72e-05,0.387,0.229,207.97,3zksbXteOCeSusJ5Xltr3t,175961
0.528,0.797,-7.487,0.0485,0.000391,0.011,0.14,0.751,143.785,6MpCaSIOfqBqbMED4kXgNY,136562
0.56,0.674,-6.048,0.0446,0.698,0.0,0.123,0.421,119.942,2xCGBWfzTe8l2kvHpgvB6M,197933
0.726,0.431,-8.765,0.135,0.731,0.0,0.696,0.348,144.026,7eJMfftS33KTjuF7lTsMCx,173333
0.516,0.358,-12.018,0.424,0.743,1.3e-06,0.0813,0.397,79.509,0sHFw13WH3LtSB3yP8UMYJ,124000
