danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.755,0.522,-4.368,0.0575,0.533,0.0,0.0685,0.925,89.96,0RiRZpuVRbi7oqRdSMwhQY,157560
0.759,0.548,-6.049,0.029,0.0392,0.0,0.0828,0.749,116.967,6v3KW9xbzN5yKLt9YKDYA2,190800
0.778,0.317,-10.732,0.334,0.592,0.0,0.0881,0.327,140.048,6ocbgoVGwYJhOv1GgI9NsF,178627
0.525,0.621,-7.364,0.116,0.0489,0.0,0.294,0.591,191.9,0lizgQ7Qw35od7CYaoMBZb,204093
0.61,0.624,-4.773,0.309,0.6,2.12e-06,0.243,0.244,176.169,2TH65lNHgvLxCKXM3apjxI,250534
0.878,0.619,-5.56,0.102,0.0533,0.0,0.113,0.639,136.041,2YpeDb67231RjR0MgVLzsG,157067
0.715,0.624,-3.046,0.114,0.11,0.0,0.123,0.412,158.087,5qmq61DAAOUaW8AUo8xKhh,173325
0.682,0.919,-3.18,0.0875,0.256,0.0,0.442,0.535,95.982,3Yh9lZcWyKrK9GjbhuS0hR,159736
0.767,0.889,-2.988,0.0963,0.00611,0.0,0.402,0.843,119.93,0k664IuFwVP557Gnx7RhIl,195145
0.837,0.364,-11.713,0.276,0.149,0.0,0.271,0.463,123.984,2JvzF1RMd7lE3KmFlsyZD8,213594
0.581,0.662,-5.239,0.303,0.0153,0.0,0.111,0.434,93.023,1wJRveJZLSb1rjhnUHQiv6,189487
0.837,0.636,-7.643,0.086,0.0395,0.00125,0.342,0.274,145.972,2t8yVaLvJ0RenpXUIAC52d,288624
0.791,0.587,-5.075,0.0413,0.407,0.0,0.148,0.536,96.057,3Ol2xnObFdKV9pmRD2t9x8,179449
0.876,0.662,-6.482,0.426,0.0608,0.0,0.127,0.844,75.445,2gwkD6igEhQbDQegRCcdoB,163320
0.703,0.557,-6.798,0.0438,0.0116,9.85e-05,0.12,0.127,159.985,18LhA0zBzAa2YnhcN3hWGa,163168
0.888,0.43,-6.728,0.588,0.0786,1.58e-06,0.132,0.45,120.088,4dAMdQ6g4kGmnc1MDHsg77,160013
