danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.496,0.909,-5.112,0.0572,8.39e-05,0.0694,0.0565,0.477,97.554,02d4GIOIKdVOuQSIvDrpzV,226351
0.452,0.935,-2.424,0.0517,3.92e-06,0.00158,0.158,0.431,100.016,3hIiMNFeeWRAO9FDk0dMhz,255300
0.433,0.989,-3.694,0.241,4.63e-05,2.51e-05,0.623,0.508,87.442,7LsAld1wdZSVk7gvtY1S94,189600
0.546,0.934,-2.993,0.0773,0.000954,2.53e-05,0.193,0.633,129.967,5NpMpW93IedtMbca54Q00I,193196
0.532,0.845,-4.922,0.0292,0.000502,0.134,0.128,0.261,92.506,5N7bNQxsnCBsHsYqyiKVO4,207733
0.554,0.518,-6.857,0.0292,0.649,0.0,0.133,0.357,75.965,1EnzY9211lYp18HIbpBPWn,224605
0.465,0.813,-4.321,0.0841,0.00281,0.0,0.0464,0.614,148.029,1RXoCep9hxApPfx8UFsGZk,197373
0.526,0.903,-4.59,0.0444,0.000954,8.4e-05,0.111,0.45,144.017,5Cl9GDb0AyQnppRr6q7ldb,200311
0.376,0.91,-3.485,0.0448,3.8e-05,0.0161,0.188,0.584,142.662,7HFC0t4r97pMHDRrv7lo7k,179533
0.533,0.977,-4.383,0.075,0.000841,0.000693,0.278,0.638,105.974,1as89Lyl830tHtUiT38MoT,230639
0.277,0.962,-3.408,0.112,0.00398,0.0,0.354,0.355,95.056,31xmybhg0i4lxMIn45aVq4,185697
0.298,0.884,-8.492,0.048,3e-05,0.295,0.113,0.24,94.475,3Esowc7Hxxp8PaEjBMKN4q,228000
0.539,0.871,-5.068,0.0466,0.00758,6.97e-06,0.0188,0.894,167.992,1oRXq9KvTvZQ0yXvO6OBXE,206133
0.499,0.937,-2.492,0.0605,4.54e-05,6.11e-06,0.477,0.569,90.029,0SnvI0twJ1Mnh0rJlBRrf0,224000
0.529,0.957,-3.522,0.0932,0.000105,0.000922,0.328,0.405,123.062,0CXQ2LNOcb6oJTWYEWKtyK,202737
0.534,0.987,-3.544,0.0728,8.62e-05,0.000253,0.262,0.561,128.973,4V4H6WIDHizgIlo8K1h5B5,234495
0.51,0.984,-4.268,0.0866,0.000437,0.0,0.341,0.282,115.003,4Baiha56S48TBgyEWU35D3,202195
0.551,0.982,-2.61,0.0507,0.0134,0.0,0.387,0.554,108.09,5nFBUL1ioMk9sSyvUKeMhl,160973
0.249,0.919,-5.099,0.157,0.00127,1.02e-06,0.085,0.599,101.062,2irQa6o5v9nHfuDfJ3EjIT,217600
0.47,0.951,-2.58,0.0834,0.000514,0.0,0.114,0.571,147.049,1XMoRfsKEG9VRtamL4rI6g,197000
0.642,0.95,-4.027,0.0698,0.000596,0.000518,0.343,0.645,115.5,1QTGQkZ8NZwWPcC6MODpzx,192318
